date,avg
2015-01-01,21.00
2015-01-02,21.00
2015-01-03,22.00
2015-01-04,21.00
2015-01-05,22.00
2015-01-06,21.00
2015-01-07,23.00
2015-01-08,22.00
2015-01-09,22.00
2015-01-11,22.00
2015-01-12,20.00
2015-01-13,21.00
2015-01-14,21.00
2015-01-15,21.00
2015-01-16,22.00
2015-01-17,21.00
2015-01-18,22.00
2015-01-19,21.00
2015-01-20,20.00
2015-01-21,21.00
2015-01-22,21.00
2015-01-23,21.00
2015-01-25,24.00
2015-01-26,21.00
2015-01-27,20.00
2015-01-28,19.00
2015-01-29,21.00
2015-01-31,21.00
2015-02-01,21.00
2015-02-02,21.00
2015-02-03,21.00
2015-02-04,21.00
2015-02-05,19.00
2015-02-06,19.00
2015-02-07,19.00
2015-02-08,19.00
2015-02-09,19.00
2015-02-10,19.00
2015-02-11,19.00
2015-02-12,19.00
2015-02-13,19.00
2015-02-14,18.00
2015-02-15,18.00
2015-02-16,18.00
2015-02-18,18.00
2015-02-19,17.00
2015-02-20,19.00
2015-02-22,19.00
2015-02-23,19.00
2015-02-24,19.00
2015-02-25,19.00
2015-02-26,19.00
2015-02-27,19.00
2015-03-01,19.00
2015-03-02,19.00
2015-03-03,19.00
2015-03-06,19.00
2015-03-09,19.00
2015-03-10,19.00
2015-03-11,19.00
2015-03-12,19.00
2015-03-13,19.00
2015-03-14,19.00
2015-03-15,19.00
2015-03-16,19.00
2015-03-17,17.00
2015-03-18,17.00
2015-03-19,17.00
2015-03-20,19.00
2015-03-21,19.00
2015-03-22,19.00
2015-03-23,19.00
2015-03-24,17.00
2015-03-25,17.00
2015-03-26,17.00
2015-03-27,18.00
2015-03-28,18.00
2015-03-29,17.00
2015-03-30,16.00
2015-03-31,17.00
2015-04-01,17.00
2015-04-02,17.00
2015-04-03,17.00
2015-04-04,17.00
2015-04-05,17.00
2015-04-06,17.00
2015-04-07,17.00
2015-04-08,17.00
2015-04-10,18.00
2015-04-12,17.00
2015-04-13,17.00
2015-04-14,17.00
