date,avg
2015-01-01,20.00
2015-01-02,19.00
2015-01-03,21.00
2015-01-04,19.00
2015-01-05,20.00
2015-01-06,20.00
2015-01-07,20.00
2015-01-08,20.00
2015-01-09,20.00
2015-01-11,20.00
2015-01-12,19.00
2015-01-13,18.00
2015-01-14,19.00
2015-01-15,19.00
2015-01-16,19.00
2015-01-17,19.00
2015-01-18,18.00
2015-01-19,19.00
2015-01-20,19.00
2015-01-21,19.00
2015-01-22,19.00
2015-01-23,19.00
2015-01-25,18.00
2015-01-26,19.00
2015-01-27,19.00
2015-01-28,18.00
2015-01-29,18.00
2015-01-31,19.00
2015-02-01,19.00
2015-02-02,19.00
2015-02-03,19.00
2015-02-04,19.00
2015-02-05,17.00
2015-02-06,17.00
2015-02-07,17.00
2015-02-08,17.00
2015-02-09,17.00
2015-02-10,17.00
2015-02-11,17.00
2015-02-12,17.00
2015-02-13,17.00
2015-02-14,16.00
2015-02-15,16.00
2015-02-16,16.00
2015-02-18,16.00
2015-02-19,16.00
2015-02-20,17.00
2015-02-22,17.00
2015-02-23,17.00
2015-02-24,17.00
2015-02-25,16.00
2015-02-26,16.00
2015-02-27,17.00
2015-03-01,16.00
2015-03-02,17.00
2015-03-03,17.00
2015-03-06,17.00
2015-03-09,17.00
2015-03-10,17.00
2015-03-11,15.00
2015-03-12,17.00
2015-03-13,15.00
2015-03-14,15.00
2015-03-15,15.00
2015-03-16,15.00
2015-03-17,15.00
2015-03-18,15.00
2015-03-19,15.00
2015-03-20,15.00
2015-03-21,15.00
2015-03-22,16.00
2015-03-23,15.00
2015-03-24,15.00
2015-03-25,15.00
2015-03-26,14.00
2015-03-27,12.00
2015-03-28,12.00
2015-03-29,13.00
2015-03-30,13.00
2015-03-31,13.00
2015-04-01,12.00
2015-04-02,11.00
2015-04-03,15.00
2015-04-04,14.00
2015-04-05,14.00
2015-04-06,14.00
2015-04-07,13.00
2015-04-08,14.00
2015-04-10,17.00
2015-04-12,13.00
2015-04-13,13.00
2015-04-14,13.00
2015-04-15,11.00
2015-04-16,12.00
2015-04-17,12.00
2015-04-18,12.00
2015-04-19,12.00
2015-04-20,12.00
2015-04-21,12.00
2015-04-22,12.00
2015-04-23,12.00
2015-04-24,12.00
2015-04-25,12.00
2015-04-26,12.00
2015-04-27,12.00
2015-04-28,12.00
2015-04-29,14.00
2015-04-30,15.00
2015-05-01,14.00
2015-05-02,14.00
2015-05-03,12.00
2015-05-04,12.00
2015-05-05,12.00
2015-05-06,12.00
2015-05-07,12.00
2015-05-08,12.00
2015-05-10,12.00
2015-05-11,12.00
2015-05-12,11.00
2015-05-13,11.00
2015-05-14,11.00
2015-05-15,11.00
2015-05-16,11.00
2015-05-17,11.00
2015-05-18,11.00
2015-05-19,11.00
2015-05-20,11.00
2015-05-21,11.00
2015-05-22,11.00
2015-05-23,11.00
2015-05-24,11.00
2015-05-25,11.00
2015-05-26,11.00
2015-05-27,11.00
2015-05-28,11.00
2015-05-29,11.00
2015-05-30,11.00
2015-05-31,11.00
2015-06-01,11.00
2015-06-02,11.00
2015-06-03,11.00
2015-06-04,11.00
2015-06-05,11.00
2015-06-06,12.00
2015-06-07,15.00
2015-06-08,15.00
2015-06-09,15.00
2015-06-10,14.00
2015-06-11,15.00
2015-06-12,15.00
2015-06-13,15.00
2015-06-14,15.00
2015-06-15,15.00
2015-06-16,18.00
2015-06-17,15.00
2015-06-18,15.00
2015-06-19,15.00
2015-06-20,15.00
2015-06-21,15.00
2015-06-22,15.00
2015-06-23,15.00
2015-06-24,15.00
2015-06-25,15.00
2015-06-26,15.00
2015-06-27,17.00
2015-06-28,16.00
2015-06-29,16.00
2015-06-30,22.00
2015-07-01,16.00
2015-07-02,16.00
2015-07-03,16.00
2015-07-05,16.00
2015-07-06,16.00
2015-07-07,16.00
2015-07-08,16.00
2015-07-09,16.00
2015-07-10,16.00
2015-07-11,18.00
2015-07-12,16.00
2015-07-13,16.00
2015-07-14,16.00
2015-07-15,16.00
2015-07-16,16.00
2015-07-17,16.00
2015-07-18,18.00
2015-07-19,17.00
2015-07-20,17.00
2015-07-21,28.00
2015-07-22,17.00
2015-07-23,18.00
2015-07-24,17.00
2015-07-25,18.00
2015-07-26,18.00
2015-07-27,18.00
2015-07-28,19.00
2015-07-29,19.00
2015-07-30,19.00
2015-07-31,18.00
2015-08-01,18.00
2015-08-02,19.00
2015-08-03,19.00
2015-08-04,19.00
2015-08-05,19.00
2015-08-06,19.00
