date,avg
2013-04-15,22.00
2013-04-16,22.00
2013-04-17,21.00
2013-04-18,19.00
2013-04-21,19.00
2013-04-22,19.00
2013-04-23,19.00
2013-04-25,19.00
2013-04-26,19.00
2013-04-28,19.00
2013-04-29,19.00
2013-04-30,19.00
2013-05-02,19.00
2013-05-03,19.00
2013-05-05,19.00
2013-05-06,19.00
2013-05-07,19.00
2013-05-08,19.00
2013-05-09,19.00
2013-05-10,19.00
2013-05-12,19.00
2013-05-13,19.00
2013-05-14,19.00
2013-05-15,19.00
2013-05-16,19.00
2013-05-17,19.00
2013-05-19,19.00
2013-05-20,19.00
2013-05-21,19.00
2013-05-22,19.00
2013-05-23,19.00
2013-05-24,19.00
2013-05-26,19.00
2013-05-27,19.00
2013-05-28,19.00
2013-05-30,19.00
2013-05-31,19.00
2013-06-02,19.00
2013-06-03,19.00
2013-06-04,19.00
2013-06-05,19.00
2013-06-06,19.00
2013-06-09,19.00
2013-06-10,19.00
2013-06-11,19.00
2013-06-12,19.00
2013-06-13,19.00
2013-06-14,19.00
2013-06-16,19.00
2013-06-17,19.00
2013-06-18,19.00
2013-06-19,19.00
2013-06-20,19.00
2013-06-21,19.00
2013-06-25,19.00
2013-06-26,18.00
2013-06-27,17.00
2013-06-28,18.00
2013-06-30,18.00
2013-07-01,18.00
2013-07-02,18.00
2013-07-03,18.00
2013-07-04,18.00
2013-07-05,20.00
2013-07-09,19.00
2013-07-10,19.00
2013-07-11,19.00
2013-07-12,19.00
2013-07-14,19.00
2013-07-15,19.00
2013-07-16,19.00
2013-07-17,19.00
2013-07-18,19.00
2013-07-19,28.00
2013-07-21,19.00
2013-07-22,19.00
2013-07-23,19.00
2013-07-24,19.00
2013-07-25,19.00
2013-07-26,19.00
2013-07-28,19.00
2013-07-29,19.00
2013-07-30,19.00
2013-07-31,19.00
2013-08-01,19.00
2013-08-02,19.00
2013-08-04,19.00
2013-08-05,19.00
2013-08-06,25.00
2013-08-07,25.00
2013-08-08,25.00
2013-08-12,28.00
2013-08-13,25.00
2013-08-14,28.00
2013-08-15,29.00
2013-08-16,29.00
2013-08-18,29.00
2013-08-19,29.00
2013-08-20,29.00
2013-08-23,27.00
2013-08-25,28.00
2013-08-26,31.00
2013-08-27,29.00
2013-08-29,30.00
2013-08-30,29.00
2013-09-01,29.00
2013-09-02,38.00
2013-09-03,38.00
2013-09-04,37.00
2013-09-05,38.00
2013-09-06,38.00
2013-09-08,38.00
2013-09-09,38.00
2013-09-10,38.00
2013-09-11,38.00
2013-09-12,38.00
2013-09-13,38.00
2013-09-15,38.00
2013-09-16,38.00
2013-09-17,38.00
2013-09-19,38.00
2013-09-20,38.00
2013-09-22,33.00
2013-09-23,38.00
2013-09-24,38.00
2013-09-25,38.00
2013-09-26,38.00
2013-09-27,38.00
2013-09-29,28.00
2013-09-30,28.00
2013-10-01,28.00
2013-10-02,28.00
2013-10-03,28.00
2013-10-04,33.00
2013-10-06,19.00
2013-10-07,19.00
2013-10-08,18.00
2013-10-09,13.00
2013-10-10,13.00
2013-10-11,13.00
2013-10-12,13.00
2013-10-17,19.00
2013-10-20,18.00
2013-10-21,18.00
2013-10-22,17.00
2013-10-23,15.00
2013-10-24,16.00
2013-10-25,17.00
2013-10-27,17.00
2013-10-28,19.00
2013-10-29,19.00
2013-10-30,19.00
2013-10-31,19.00
2013-11-01,19.00
2013-11-03,19.00
2013-11-04,19.00
2013-11-05,19.00
2013-11-06,23.00
2013-11-07,19.00
2013-11-10,22.00
2013-11-11,22.00
2013-11-12,21.00
2013-11-13,20.00
2013-11-14,19.00
2013-11-15,19.00
2013-11-16,21.00
2013-11-17,20.00
2013-11-18,19.00
2013-11-20,21.00
2013-11-21,17.00
2013-11-22,17.00
2013-11-24,17.00
2013-11-25,17.00
2013-11-26,17.00
2013-11-27,17.00
2013-11-28,17.00
2013-11-29,16.00
2013-12-01,15.00
2013-12-02,15.00
2013-12-03,18.00
2013-12-04,17.00
2013-12-05,17.00
2013-12-06,17.00
2013-12-08,18.00
2013-12-09,18.00
2013-12-10,17.00
2013-12-11,15.00
2013-12-12,18.00
2013-12-13,16.00
2013-12-15,18.00
2013-12-16,18.00
2013-12-18,17.00
2013-12-19,17.00
2013-12-20,18.00
2013-12-22,16.00
2013-12-23,17.00
2013-12-24,17.00
2013-12-26,17.00
2013-12-27,17.00
2013-12-29,16.00
2013-12-31,17.00
2014-01-01,17.00
2014-01-02,17.00
2014-01-03,17.00
2014-01-05,18.00
2014-01-06,17.00
2014-01-07,17.00
2014-01-08,17.00
2014-01-09,17.00
2014-01-10,17.00
2014-01-12,18.00
2014-01-13,17.00
2014-01-14,17.00
2014-01-16,19.00
2014-01-17,19.00
2014-01-19,18.00
2014-01-20,19.00
2014-01-21,19.00
2014-01-22,19.00
2014-01-23,19.00
2014-01-24,20.00
2014-01-26,19.00
2014-01-27,20.00
2014-01-28,20.00
2014-01-29,21.00
2014-02-02,21.00
2014-02-03,20.00
2014-02-04,20.00
2014-02-05,19.00
2014-02-06,21.00
2014-02-07,21.00
2014-02-09,19.00
2014-02-10,19.00
2014-02-11,21.00
2014-02-12,24.00
2014-02-13,24.00
2014-02-14,22.00
2014-02-16,26.00
2014-02-17,25.00
2014-02-18,26.00
2014-02-20,26.00
2014-02-21,27.00
2014-02-23,27.00
2014-02-24,28.00
