date,avg
2015-01-01,28.00
2015-01-02,28.00
2015-01-03,29.00
2015-01-04,28.00
2015-01-05,33.00
2015-01-06,33.00
2015-01-07,33.00
2015-01-08,33.00
2015-01-09,33.00
2015-01-11,28.00
2015-01-12,28.00
2015-01-13,28.00
2015-01-14,28.00
2015-01-15,28.00
2015-01-16,28.00
2015-01-17,28.00
2015-01-18,33.00
2015-01-19,28.00
2015-01-20,28.00
2015-01-21,28.00
2015-01-22,28.00
2015-01-23,28.00
2015-01-25,31.00
2015-01-26,28.00
2015-01-27,28.00
2015-01-28,28.00
2015-01-29,28.00
2015-01-31,28.00
2015-02-01,28.00
2015-02-02,28.00
2015-02-03,28.00
2015-02-04,28.00
2015-02-05,28.00
2015-02-06,28.00
2015-02-07,28.00
2015-02-08,28.00
2015-02-09,28.00
2015-02-10,28.00
2015-02-11,28.00
2015-02-12,28.00
2015-02-13,27.00
2015-02-14,28.00
2015-02-15,28.00
2015-02-16,28.00
2015-02-18,28.00
2015-02-19,29.00
2015-02-20,28.00
2015-02-22,25.00
2015-02-23,25.00
2015-02-24,28.00
2015-02-26,29.00
2015-02-27,29.00
2015-03-01,29.00
2015-03-09,31.00
2015-03-10,31.00
2015-03-11,31.00
2015-03-12,31.00
2015-03-13,31.00
2015-03-14,33.00
2015-03-15,33.00
2015-03-16,33.00
2015-03-17,28.00
2015-03-18,48.00
2015-03-19,43.00
2015-03-20,48.00
2015-03-21,43.00
2015-03-22,43.00
2015-03-23,43.00
2015-03-30,38.00
2015-03-31,38.00
2015-04-01,38.00
2015-04-02,32.00
2015-04-03,43.00
2015-04-04,43.00
2015-04-05,43.00
2015-04-06,48.00
2015-04-07,48.00
2015-04-10,31.00
2015-11-07,34.00
2015-11-24,35.00
2015-11-25,25.00
2015-11-26,25.00
2015-11-27,25.00
2015-11-28,26.00
2015-12-09,22.00
2015-12-10,25.00
2015-12-11,28.00
2015-12-12,32.00
2015-12-13,28.00
2015-12-14,28.00
2015-12-15,28.00
2015-12-16,33.00
2015-12-17,35.00
2015-12-18,28.00
2015-12-19,28.00
2015-12-20,28.00
2015-12-21,28.00
2015-12-22,28.00
2015-12-23,28.00
2015-12-24,28.00
2015-12-25,34.00
2015-12-26,33.00
2015-12-27,28.00
2015-12-28,28.00
2015-12-29,28.00
2015-12-30,28.00
2015-12-31,28.00
2016-01-01,28.00
2016-01-02,29.00
2016-01-03,28.00
2016-01-04,27.00
2016-01-05,28.00
2016-01-06,28.00
2016-01-07,35.00
2016-01-08,35.00
2016-01-09,33.00
2016-01-10,28.00
2016-01-11,28.00
2016-01-12,28.00
2016-01-13,28.00
2016-01-14,28.00
2016-01-15,28.00
2016-01-16,28.00
2016-01-17,23.00
2016-01-18,28.00
2016-01-19,28.00
2016-01-20,28.00
2016-01-21,28.00
2016-01-22,28.00
2016-01-23,33.00
2016-01-24,28.00
2016-01-25,35.00
2016-01-26,33.00
2016-01-27,35.00
2016-01-28,35.00
2016-01-30,38.00
2016-01-31,35.00
2016-02-01,35.00
2016-02-02,35.00
2016-02-03,35.00
2016-02-04,35.00
2016-02-05,35.00
2016-02-06,37.00
2016-02-07,35.00
2016-02-08,35.00
2016-02-09,33.00
2016-02-10,35.00
2016-02-11,33.00
2016-02-12,33.00
2016-02-13,33.00
2016-02-14,33.00
2016-02-15,33.00
2016-02-16,33.00
2016-02-17,35.00
2016-02-18,33.00
2016-02-19,33.00
2016-02-20,33.00
2016-02-21,35.00
2016-02-22,33.00
2016-02-23,36.00
2016-02-24,33.00
2016-02-25,33.00
2016-02-26,35.00
2016-02-27,33.00
2016-02-28,35.00
2016-02-29,35.00
2016-03-01,35.00
2016-03-02,34.00
2016-03-04,35.00
2016-03-05,43.00
2016-03-06,35.00
2016-03-07,36.00
2016-03-08,33.00
2016-03-09,35.00
2016-03-10,35.00
2016-03-11,38.00
2016-03-12,38.00
2016-03-13,38.00
2016-03-15,38.00
2016-03-16,38.00
2016-11-30,33.00
2016-12-01,35.00
2016-12-02,33.00
2016-12-03,32.00
2016-12-04,33.00
2016-12-05,28.00
2016-12-06,28.00
2016-12-07,28.00
2016-12-08,28.00
2016-12-09,28.00
2016-12-10,32.00
2016-12-11,28.00
2016-12-12,28.00
2016-12-13,28.00
2016-12-14,28.00
2016-12-15,28.00
2016-12-16,28.00
2016-12-17,28.00
2016-12-18,28.00
2016-12-19,28.00
2016-12-20,28.00
2016-12-21,28.00
2016-12-22,28.00
2016-12-23,28.00
2016-12-24,28.00
2016-12-25,28.00
2016-12-26,22.00
2016-12-27,19.00
2016-12-28,19.00
2016-12-29,19.00
2016-12-30,19.00
2016-12-31,19.00
2017-01-01,19.00
2017-01-02,19.00
2017-01-03,19.00
2017-01-04,19.00
2017-01-05,19.00
2017-01-06,19.00
