date,avg
2019-06-04,48.00
2019-06-05,48.00
2019-06-06,48.00
2019-06-07,48.00
2019-06-08,48.00
2019-06-09,48.00
2019-06-10,42.00
2019-06-11,48.00
2019-06-12,48.00
2019-06-13,48.00
2019-06-14,42.00
2019-06-15,48.00
2019-06-16,48.00
2019-06-17,48.00
2019-06-18,48.00
2019-06-19,48.00
2019-06-20,48.00
2019-06-21,48.00
2019-06-22,48.00
2019-06-23,48.00
2019-06-24,48.00
2019-06-25,52.00
2019-06-26,52.00
2019-06-27,58.00
2019-06-28,62.00
2019-06-29,62.00
2019-06-30,62.00
2019-07-01,62.00
2019-07-02,62.00
2019-07-03,63.00
2019-07-04,45.00
2019-07-05,68.00
2019-07-06,68.00
2019-07-07,68.00
2019-07-08,68.00
2019-07-09,68.00
2019-07-10,62.00
2019-07-11,58.00
2019-07-12,68.00
2019-07-13,78.00
2019-07-14,68.00
2019-07-15,68.00
2019-07-16,72.00
2019-07-17,62.00
2019-07-18,62.00
2019-07-19,58.00
2019-07-20,58.00
2019-07-21,58.00
2019-07-22,52.00
2019-07-23,48.00
2019-07-24,48.00
2019-07-25,48.00
2019-07-26,48.00
2019-07-27,42.00
2019-07-28,42.00
2019-07-29,48.00
2019-07-30,48.00
2019-07-31,48.00
2019-08-01,45.00
2019-08-02,33.00
2019-08-03,38.00
2019-08-04,38.00
2019-08-05,38.00
2019-08-06,38.00
2019-08-07,38.00
2019-08-08,38.00
2019-08-09,33.00
2019-08-10,38.00
2019-08-11,48.00
2019-08-12,42.00
2019-08-13,42.00
2019-08-14,42.00
2019-08-15,48.00
2019-08-16,48.00
2019-08-17,48.00
2019-08-18,48.00
2019-08-19,48.00
2019-08-20,48.00
2019-08-21,48.00
2019-08-22,48.00
2019-08-23,48.00
2019-08-24,48.00
2019-08-25,42.00
2019-08-26,42.00
2019-08-27,48.00
2019-08-28,42.00
2019-08-29,42.00
2019-08-30,58.00
2019-08-31,68.00
2019-09-01,55.00
2019-09-02,38.00
2019-09-03,42.00
2019-09-04,42.00
2019-09-05,42.00
2019-09-06,42.00
2019-09-07,42.00
2019-09-08,42.00
2019-09-09,38.00
2019-09-10,42.00
2019-09-11,42.00
2019-09-12,42.00
2019-09-13,42.00
2019-09-14,48.00
2019-09-15,42.00
2019-09-16,48.00
2019-09-17,43.00
2019-09-18,42.00
2019-09-19,48.00
2019-09-20,42.00
2019-09-21,42.00
2019-09-22,48.00
2019-09-23,42.00
2019-09-24,42.00
2019-09-25,42.00
2019-09-26,33.00
2019-09-27,38.00
2019-09-28,38.00
2019-09-29,42.00
2019-09-30,42.00
2019-10-01,42.00
2019-10-02,42.00
2019-10-03,38.00
2019-10-04,42.00
2019-10-05,52.00
2019-10-06,58.00
2019-10-07,55.00
2019-10-08,55.00
2019-10-09,42.00
2019-10-10,48.00
2019-10-11,48.00
2019-10-12,48.00
2019-10-13,38.00
2019-10-14,38.00
2019-10-15,42.00
2019-10-16,38.00
2019-10-17,38.00
2019-10-18,38.00
2019-10-19,29.00
2019-10-20,38.00
2019-10-21,38.00
2019-10-22,38.00
2019-10-23,38.00
2019-10-24,38.00
2019-10-25,38.00
2019-10-26,38.00
2019-10-27,42.00
2019-10-28,38.00
2019-10-29,42.00
2019-10-30,38.00
2019-10-31,42.00
2019-11-01,48.00
2019-11-02,38.00
2019-11-03,38.00
2019-11-04,42.00
2019-11-05,38.00
2019-11-06,28.00
2019-11-07,28.00
2019-11-08,28.00
2019-11-09,33.00
2019-11-10,42.00
2019-11-11,42.00
2019-11-12,42.00
2019-11-13,42.00
2019-11-14,42.00
2019-11-15,42.00
2019-11-16,38.00
2019-11-17,38.00
2019-11-18,42.00
2019-11-19,48.00
2019-11-20,55.00
2019-11-21,48.00
2019-11-22,55.00
2019-11-23,48.00
2019-11-24,38.00
2019-11-25,48.00
2019-11-26,45.00
2019-11-27,42.00
2019-11-28,45.00
2019-11-29,42.00
2019-11-30,48.00
2019-12-01,42.00
2019-12-02,48.00
2019-12-03,48.00
2019-12-04,42.00
2019-12-05,55.00
2019-12-06,52.00
2019-12-07,58.00
2019-12-08,52.00
2019-12-09,48.00
2019-12-10,55.00
2019-12-11,45.00
2019-12-12,42.00
2019-12-13,38.00
2019-12-14,48.00
2019-12-15,38.00
2019-12-16,38.00
