date,avg
2015-01-01,14.00
2015-01-02,15.00
2015-01-03,15.00
2015-01-04,15.00
2015-01-05,15.00
2015-01-06,15.00
2015-01-07,15.00
2015-01-08,15.00
2015-01-09,16.00
2015-01-11,16.00
2015-01-12,17.00
2015-01-13,18.00
2015-01-14,19.00
2015-01-15,19.00
2015-01-16,22.00
2015-01-17,20.00
2015-01-18,19.00
2015-01-19,15.00
2015-01-20,14.00
2015-01-21,15.00
2015-01-22,14.00
2015-01-23,14.00
2015-01-25,13.00
2015-01-26,13.00
2015-01-27,14.00
2015-01-28,15.00
2015-01-29,14.00
2015-01-31,13.00
2015-02-01,15.00
2015-02-02,14.00
2015-02-03,15.00
2015-02-04,11.00
2015-02-05,17.00
2015-02-06,14.00
2015-02-07,11.00
2015-02-08,11.00
2015-02-09,12.00
2015-02-10,11.00
2015-02-11,9.00
2015-02-12,14.00
2015-02-13,16.00
2015-02-14,12.00
2015-02-15,13.00
2015-02-16,13.00
2015-02-18,14.00
2015-02-19,10.00
2015-02-20,10.00
2015-02-22,9.00
2015-02-23,9.00
2015-02-24,11.00
2015-02-25,13.00
2015-02-26,11.00
2015-02-27,14.00
2015-03-01,15.00
2015-03-02,14.00
2015-03-03,16.00
2015-03-06,16.00
2015-03-09,12.00
2015-03-10,12.00
2015-03-11,12.00
2015-03-12,13.00
2015-03-13,13.00
2015-03-14,13.00
2015-03-15,13.00
2015-03-16,14.00
2015-03-17,28.00
2015-03-18,16.00
2015-03-19,28.00
2015-03-20,27.00
2015-03-21,22.00
2015-03-22,21.00
2015-03-23,25.00
2015-03-24,21.00
2015-03-25,23.00
2015-03-26,27.00
2015-03-27,23.00
2015-03-28,26.00
2015-03-29,21.00
2015-03-30,19.00
2015-03-31,23.00
2015-04-01,15.00
2015-04-02,12.00
2015-04-03,22.00
2015-04-04,18.00
2015-04-05,18.00
2015-04-06,19.00
2015-04-07,16.00
2015-04-08,19.00
2015-04-10,18.00
2015-04-12,18.00
2015-04-13,7.00
2015-04-14,9.00
2015-04-15,12.00
2015-04-16,12.00
2015-04-17,14.00
2015-04-18,15.00
2015-04-19,16.00
2015-04-20,14.00
2015-04-21,13.00
2015-04-22,14.00
2015-04-23,13.00
2015-04-24,13.00
2015-04-25,16.00
2015-04-26,18.00
2015-04-27,18.00
2015-04-28,18.00
2015-04-29,23.00
2015-04-30,18.00
2015-05-01,19.00
2015-05-02,15.00
2015-05-03,13.00
2015-05-04,15.00
2015-05-05,18.00
2015-05-06,16.00
2015-05-07,18.00
2015-05-08,18.00
2015-05-10,16.00
2015-05-11,16.00
2015-05-12,18.00
2015-05-13,17.00
2015-05-14,21.00
2015-05-15,18.00
2015-05-16,17.00
2015-05-17,11.00
2015-05-18,14.00
2015-05-19,14.00
2015-05-20,11.00
2015-05-21,11.00
2015-05-22,11.00
2015-05-23,14.00
2015-05-24,11.00
2015-05-25,11.00
2015-05-26,12.00
2015-05-27,11.00
2015-05-28,11.00
2015-05-29,12.00
2015-05-30,13.00
2015-05-31,13.00
2015-06-01,11.00
2015-06-02,11.00
2015-06-03,11.00
2015-06-04,11.00
2015-06-05,11.00
2015-06-06,15.00
2015-06-07,13.00
2015-06-08,11.00
2015-06-09,12.00
2015-06-10,13.00
2015-06-11,13.00
2015-06-12,14.00
2015-06-13,17.00
2015-06-14,15.00
2015-06-15,16.00
2015-06-16,16.00
2015-06-17,16.00
2015-06-18,14.00
2015-06-19,13.00
2015-06-20,19.00
2015-06-21,14.00
2015-06-22,14.00
2015-06-23,16.00
2015-06-24,14.00
2015-06-25,13.00
2015-06-26,18.00
2015-06-27,17.00
2015-06-28,16.00
2015-06-29,19.00
2015-06-30,22.00
2015-07-01,22.00
2015-07-02,22.00
2015-07-03,22.00
2015-07-05,24.00
2015-07-06,25.00
2015-07-07,28.00
2015-07-08,25.00
2015-07-09,23.00
2015-07-10,23.00
2015-07-11,23.00
2015-07-12,19.00
2015-07-13,22.00
2015-07-14,19.00
2015-07-15,20.00
2015-07-16,22.00
2015-07-17,22.00
2015-07-18,23.00
2015-07-19,25.00
2015-07-20,28.00
2015-07-21,35.00
2015-07-22,25.00
2015-07-23,23.00
2015-07-24,25.00
2015-07-25,33.00
2015-07-26,25.00
2015-07-27,28.00
2015-07-28,28.00
2015-07-29,29.00
2015-07-30,28.00
2015-07-31,35.00
2015-08-01,42.00
2015-08-02,35.00
2015-08-03,25.00
2015-08-04,23.00
2015-08-05,23.00
2015-08-06,22.00
2015-08-07,22.00
2015-08-08,21.00
2015-08-09,22.00
2015-08-10,22.00
2015-08-11,19.00
2015-08-12,18.00
2015-08-13,19.00
2015-08-14,19.00
2015-08-15,20.00
2015-08-16,19.00
2015-08-17,19.00
2015-08-18,22.00
2015-08-19,19.00
2015-08-20,19.00
2015-08-21,19.00
2015-08-22,18.00
2015-08-23,19.00
2015-08-24,19.00
2015-08-25,19.00
2015-08-26,19.00
2015-08-27,19.00
2015-08-28,19.00
2015-08-29,19.00
2015-08-30,21.00
2015-08-31,19.00
2015-09-01,19.00
2015-09-02,19.00
2015-09-03,19.00
2015-09-04,19.00
2015-09-05,19.00
2015-09-06,22.00
2015-09-07,22.00
2015-09-08,22.00
2015-09-09,22.00
2015-09-10,22.00
2015-09-11,22.00
2015-09-12,22.00
2015-09-13,22.00
