date,avg
2013-04-17,55.00
2013-04-18,55.00
2013-04-21,55.00
2013-04-22,45.00
2013-04-23,45.00
2013-04-25,55.00
2013-04-26,55.00
2013-04-28,55.00
2013-04-29,55.00
2013-04-30,55.00
2013-05-02,55.00
2013-05-03,55.00
2013-05-05,55.00
2013-05-06,55.00
2013-05-07,55.00
2013-05-08,55.00
2013-05-09,45.00
2013-05-10,55.00
2013-05-12,45.00
2013-05-13,55.00
2013-05-14,45.00
2013-05-15,55.00
2013-05-16,45.00
2013-05-17,55.00
2013-05-19,55.00
2013-05-20,55.00
2013-05-21,45.00
2013-05-22,55.00
2013-05-23,45.00
2013-05-24,55.00
2013-05-26,55.00
2013-05-27,45.00
2013-05-28,55.00
2013-05-30,55.00
2013-05-31,55.00
2013-06-02,55.00
2013-06-03,55.00
2013-06-04,55.00
2013-06-05,55.00
2013-06-06,55.00
2013-06-09,75.00
2013-06-10,75.00
2013-06-11,55.00
2013-06-12,75.00
2013-06-13,75.00
2013-06-14,75.00
2013-06-16,75.00
2013-06-17,65.00
2013-06-18,55.00
2013-06-19,75.00
2013-06-20,75.00
2013-06-21,75.00
2013-06-25,75.00
2013-06-26,75.00
2013-06-27,75.00
2013-06-28,75.00
2013-06-30,75.00
2013-07-01,65.00
2013-07-02,75.00
2013-07-03,65.00
2013-07-04,65.00
2013-07-05,65.00
2013-07-09,65.00
2013-07-10,65.00
2013-07-11,65.00
2013-07-12,65.00
2013-07-14,65.00
2013-07-15,65.00
2013-07-16,65.00
2013-07-17,75.00
2013-07-18,65.00
2013-07-19,65.00
2013-07-21,65.00
2013-07-22,65.00
2013-07-23,65.00
2013-07-24,65.00
2013-07-25,65.00
2013-07-28,65.00
2013-07-29,75.00
2013-07-30,65.00
2013-07-31,75.00
2013-08-01,75.00
2013-08-02,75.00
2013-08-04,75.00
2013-08-05,75.00
2013-08-06,75.00
2013-08-07,75.00
2013-08-08,65.00
2013-08-12,125.00
2013-08-13,75.00
2013-08-14,75.00
2013-08-15,75.00
