date,avg
2021-10-29,145.00
2021-10-30,145.00
2021-10-31,145.00
2021-11-01,145.00
2021-11-02,145.00
2021-11-03,146.67
2021-11-04,146.67
2021-11-05,146.67
2021-11-12,165.00
2021-11-13,123.33
2021-11-14,125.00
2021-11-15,110.00
2021-11-16,125.00
2021-11-17,110.00
2021-11-18,110.00
2021-11-19,110.00
2021-11-20,110.00
2021-11-21,110.00
2022-08-02,235.00
2022-08-03,235.00
2022-08-04,235.00
2022-08-05,235.00
2022-08-06,210.00
2022-08-07,210.00
2022-08-08,190.00
2022-08-09,225.00
2022-08-10,210.00
2022-08-11,210.00
2022-08-12,165.00
2022-08-13,175.00
2022-08-14,175.00
2022-08-15,165.00
2022-08-16,193.33
2022-08-17,190.00
2022-08-18,190.00
2022-08-19,165.00
2022-08-20,165.00
2022-08-21,165.00
2022-08-22,165.00
2022-08-23,165.00
2022-08-24,190.00
2022-08-25,135.00
2022-08-26,135.00
2022-08-27,123.33
2022-08-28,125.00
2022-08-29,135.00
2022-08-30,165.00
2022-08-31,175.00
2022-09-01,175.00
2022-09-02,175.00
2022-09-03,165.00
2022-09-04,165.00
2022-09-05,175.00
2022-09-06,175.00
2022-09-07,175.00
2022-09-08,175.00
2022-09-09,175.00
2022-09-10,175.00
2022-09-11,135.00
2022-09-12,175.00
2022-09-13,175.00
2022-09-14,175.00
2022-09-15,175.00
2022-09-16,175.00
2022-09-17,175.00
2022-09-18,175.00
2022-09-19,175.00
2022-09-20,175.00
2022-09-21,135.00
2022-09-22,175.00
2022-09-23,175.00
2022-09-24,165.00
2022-09-25,165.00
2022-09-26,175.00
2022-09-27,175.00
2022-09-28,175.00
2022-09-29,175.00
2022-09-30,175.00
2022-10-01,175.00
2022-10-02,175.00
2022-10-03,175.00
2022-10-11,165.00
2022-10-12,165.00
2022-10-13,175.00
2022-10-14,175.00
2022-10-15,175.00
2022-10-16,175.00
2022-10-17,165.00
2022-10-18,175.00
2022-10-19,175.00
2022-10-20,175.00
2022-10-21,175.00
2022-10-22,165.00
2022-10-23,165.00
2022-10-24,165.00
2022-10-25,165.00
2022-10-26,175.00
2022-10-29,165.00
2022-11-18,325.00
2022-11-21,425.00
2022-12-01,225.00
2022-12-06,290.00
2022-12-07,290.00
2022-12-08,290.00
2022-12-09,280.00
2022-12-10,290.00
2022-12-11,290.00
2022-12-12,290.00
2022-12-13,275.00
2022-12-14,290.00
2022-12-15,290.00
2022-12-16,290.00
2022-12-17,275.00
2022-12-18,275.00
2022-12-19,250.00
2022-12-20,290.00
2022-12-21,255.00
2022-12-22,265.00
2022-12-23,275.00
2022-12-24,275.00
2022-12-25,275.00
2022-12-26,275.00
2022-12-27,275.00
2022-12-28,290.00
2022-12-29,275.00
2022-12-30,275.00
2022-12-31,275.00
2023-01-01,275.00
2023-01-02,265.00
2023-01-03,275.00
2023-01-04,265.00
2023-01-05,235.00
2023-01-06,265.00
2023-05-01,275.00
2023-08-22,275.00
2023-08-23,275.00
2023-08-24,275.00
2023-08-25,275.00
2023-08-26,275.00
2023-08-27,275.00
2023-08-28,275.00
2023-08-29,275.00
2023-08-30,225.00
2023-08-31,225.00
2023-09-01,225.00
2023-09-02,175.00
2023-09-03,183.33
2023-09-04,175.00
2023-09-05,200.00
2023-09-06,175.00
2023-09-07,200.00
2023-09-08,175.00
2023-09-09,175.00
2023-09-10,175.00
2023-09-11,225.00
2023-09-12,225.00
2023-09-13,225.00
2023-09-14,225.00
2023-09-15,250.00
2023-09-16,225.00
2023-09-17,225.00
2023-09-18,250.00
2023-09-19,175.00
2023-09-20,200.00
2023-09-21,225.00
2023-09-22,125.00
2023-09-23,125.00
2023-09-24,135.00
2023-09-25,175.00
2023-09-26,200.00
2023-09-27,200.00
2023-09-28,200.00
2023-09-29,175.00
2023-09-30,200.00
2023-10-01,175.00
2023-10-02,250.00
2023-10-03,250.00
2023-10-04,225.00
2023-10-05,250.00
2023-10-06,225.00
2023-10-07,250.00
2023-10-08,250.00
2023-10-09,250.00
2023-10-10,250.00
2023-10-11,225.00
2023-10-12,175.00
2023-10-13,175.00
2023-10-14,200.00
2023-10-15,225.00
2023-10-16,175.00
2023-10-17,225.00
2023-10-18,250.00
2023-10-19,225.00
2023-10-20,225.00
2023-10-21,225.00
2023-10-22,250.00
2023-11-02,175.00
2023-11-03,175.00
2023-11-04,175.00
2023-11-05,175.00
2023-11-06,225.00
2023-11-07,175.00
2023-11-08,175.00
2023-11-09,175.00
2023-11-10,175.00
2023-11-11,135.00
2023-11-12,175.00
2023-11-13,175.00
2023-11-14,175.00
2023-11-17,250.00
2023-12-07,225.00
2023-12-08,225.00
2023-12-09,250.00
2023-12-10,250.00
2023-12-11,225.00
2023-12-12,225.00
2023-12-13,225.00
2023-12-14,225.00
2023-12-15,225.00
2023-12-16,225.00
2023-12-17,225.00
2023-12-18,225.00
2023-12-19,225.00
2023-12-20,235.00
2023-12-21,275.00
2023-12-22,265.00
2023-12-23,275.00
2023-12-24,275.00
2023-12-25,275.00
2023-12-26,275.00
2023-12-27,325.00
2023-12-28,275.00
2023-12-29,275.00
2023-12-30,275.00
2023-12-31,275.00
2024-01-01,275.00
2024-01-02,275.00
2024-01-03,275.00
2024-01-04,275.00
2024-01-05,275.00
2024-01-06,275.00
2024-01-07,275.00
2024-01-08,275.00
2024-01-09,275.00
2024-01-10,275.00
2024-01-11,275.00
2024-01-12,275.00
2024-01-13,275.00
2024-01-14,275.00
2024-01-15,275.00
2024-01-16,275.00
2024-01-17,275.00
2024-01-18,275.00
2024-01-19,275.00
2024-01-20,275.00
2024-01-21,275.00
2024-01-22,275.00
2024-01-23,275.00
2024-01-24,275.00
2024-01-25,275.00
2024-01-26,275.00
2024-01-27,275.00
2024-01-28,275.00
2024-01-29,325.00
2024-02-04,85.00
2024-04-24,575.00
2024-08-07,290.00
2024-08-08,290.00
2024-08-09,310.00
2024-08-10,310.00
2024-08-11,310.00
2024-08-12,325.00
2024-08-13,326.67
2024-08-14,275.00
2024-08-15,276.67
2024-08-16,225.00
2024-08-17,290.00
2024-08-18,290.00
2024-08-19,290.00
2024-08-20,290.00
2024-08-22,290.00
2024-08-23,225.00
2024-08-24,175.00
2024-08-25,176.67
2024-08-26,245.00
2024-08-27,245.00
2024-08-28,225.00
2024-08-29,226.67
2024-08-30,225.00
2024-08-31,225.00
2024-09-01,226.67
2024-09-02,175.00
2024-09-03,176.67
2024-09-04,176.67
2024-09-05,176.67
2024-09-06,176.67
2024-09-07,176.67
2024-09-08,176.67
2024-09-09,176.67
2024-09-10,126.67
2024-09-11,123.33
2024-09-12,126.67
2024-09-13,110.00
2024-09-14,110.00
2024-09-15,110.00
2024-09-16,110.00
2024-09-17,110.00
2024-09-18,110.00
2024-09-19,110.00
2024-09-20,110.00
2024-09-21,110.00
2024-09-22,133.33
2024-09-23,116.67
2024-09-24,118.33
2024-09-25,116.67
2024-09-26,115.00
2024-09-27,115.00
2024-09-28,116.67
2024-09-29,115.00
2024-09-30,115.00
2024-10-08,176.67
2024-10-09,176.67
2024-10-10,176.67
2024-10-11,226.67
2024-10-12,226.67
2024-10-13,226.67
2024-10-14,226.67
2024-10-15,226.67
2024-10-16,226.67
2024-10-17,226.67
2024-10-18,226.67
2024-10-19,226.67
2024-10-20,226.67
2024-10-21,226.67
2024-10-22,226.67
2024-10-23,226.67
2024-10-24,176.67
2024-10-25,176.67
2024-10-26,176.67
2024-10-27,176.67
2024-10-28,176.67
2024-10-29,176.67
2024-10-30,176.67
2024-10-31,176.67
2024-11-01,176.67
2024-11-02,176.67
2024-11-03,176.67
2024-11-04,176.67
2024-11-05,176.67
2024-11-06,176.67
2024-11-07,176.67
2024-11-08,173.33
2024-11-09,176.67
2024-11-10,176.67
2024-11-11,226.67
2024-11-12,225.00
2024-11-13,223.33
2024-11-14,226.67
2024-11-15,226.67
2024-11-16,226.67
2024-11-17,226.67
2024-11-18,226.67
2024-11-19,226.67
2024-11-20,226.67
2024-11-21,226.67
2024-11-22,226.67
2024-11-23,226.67
2024-11-24,226.67
2024-11-25,225.00
2024-11-26,226.67
2024-11-27,226.67
2024-11-28,226.67
2024-11-29,226.67
2024-11-30,226.67
2024-12-01,226.67
2024-12-02,226.67
2024-12-03,226.67
2024-12-04,226.67
2024-12-05,226.67
2024-12-06,226.67
2024-12-07,226.67
2024-12-08,226.67
2024-12-09,226.67
2024-12-10,226.67
2024-12-11,226.67
2024-12-12,226.67
2024-12-13,226.67
2024-12-14,226.67
2024-12-15,226.67
2024-12-16,226.67
2024-12-17,226.67
2024-12-18,226.67
2024-12-19,226.67
2024-12-20,226.67
2024-12-21,226.67
2024-12-22,226.67
2024-12-23,226.67
2024-12-24,226.67
2024-12-25,226.67
