date,avg
2013-04-15,65.00
2013-04-16,64.00
2013-04-17,58.00
2013-04-18,63.00
2013-04-21,48.00
2013-04-22,39.00
2013-04-23,38.00
2013-04-25,45.00
2013-04-26,55.00
2013-04-28,48.00
2013-04-29,43.00
2013-04-30,48.00
2013-05-02,38.00
2013-05-03,43.00
2013-05-05,38.00
2013-05-06,34.00
2013-05-07,38.00
2013-05-08,38.00
2013-05-09,38.00
2013-05-10,33.00
2013-05-12,28.00
2013-05-13,29.00
2013-05-14,33.00
2013-05-15,28.00
2013-05-16,28.00
2013-05-17,30.00
2013-05-19,28.00
2013-05-20,23.00
2013-05-21,33.00
2013-05-22,33.00
2013-05-23,28.00
2013-05-24,28.00
2013-05-26,28.00
2013-05-27,23.00
2013-05-28,28.00
2013-05-30,28.00
2013-05-31,33.00
2013-06-02,28.00
2013-06-03,29.00
2013-06-04,32.00
2013-06-05,33.00
2013-06-06,29.00
2013-06-09,30.00
2013-06-10,28.00
2013-06-11,28.00
2013-06-12,23.00
2013-06-13,28.00
2013-06-14,23.00
2013-06-16,23.00
2013-06-17,18.00
2013-06-18,23.00
2013-06-19,23.00
2013-06-20,23.00
2013-06-21,20.00
2013-06-25,28.00
2013-06-26,23.00
2013-06-27,23.00
2013-06-28,28.00
2013-06-30,28.00
2013-07-01,23.00
2013-07-02,28.00
2013-07-03,23.00
2013-07-04,28.00
2013-07-05,33.00
2013-07-09,43.00
2013-07-10,38.00
2013-07-11,28.00
2013-07-12,28.00
2013-07-14,28.00
2013-07-15,33.00
2013-07-16,30.00
2013-07-17,28.00
2013-07-18,23.00
2013-07-19,28.00
2013-07-21,28.00
2013-07-22,23.00
2013-07-23,23.00
2013-07-24,28.00
2013-07-25,28.00
2013-07-26,28.00
2013-07-28,28.00
2013-07-29,23.00
2013-07-30,23.00
2013-07-31,23.00
2013-08-01,23.00
2013-08-02,28.00
2013-08-04,28.00
2013-08-05,25.00
2013-08-06,33.00
2013-08-07,33.00
2013-08-08,28.00
2013-08-12,33.00
2013-08-13,23.00
2013-08-14,28.00
2013-08-15,38.00
2013-08-16,35.00
2013-08-18,33.00
2013-08-19,38.00
2013-08-20,29.00
2013-08-23,30.00
2013-08-25,28.00
