date,avg
2013-04-23,29.00
2013-04-25,41.00
2013-04-26,43.00
2013-04-28,43.00
2013-04-29,43.00
2013-04-30,43.00
2013-05-02,48.00
2013-05-03,48.00
2013-05-05,48.00
2013-05-06,48.00
2013-05-07,48.00
2013-05-08,48.00
2013-05-09,48.00
2013-05-10,39.00
2013-05-12,38.00
2013-05-13,43.00
2013-05-14,38.00
2013-05-15,38.00
2013-05-16,43.00
2013-05-17,38.00
2013-05-19,33.00
2013-05-20,38.00
2013-05-21,38.00
2013-05-22,39.00
2013-05-23,33.00
2013-05-24,38.00
2013-05-26,38.00
2013-05-27,39.00
2013-05-28,38.00
2013-05-30,35.00
2013-05-31,38.00
2013-06-02,33.00
2013-06-03,35.00
2013-06-04,34.00
2013-06-05,34.00
2013-06-06,35.00
2013-06-09,35.00
2013-06-10,33.00
2013-06-11,32.00
2013-06-12,33.00
2013-06-13,29.00
2013-06-14,28.00
2013-06-16,28.00
2013-06-17,33.00
2013-06-18,33.00
2013-06-19,28.00
2013-06-20,33.00
2013-06-21,38.00
2013-06-25,33.00
2013-06-26,33.00
2013-06-27,38.00
2013-06-28,30.00
2013-06-30,29.00
2013-07-01,38.00
2013-07-02,33.00
2013-07-03,33.00
2013-07-04,31.00
2013-07-05,38.00
2013-07-09,33.00
2013-07-10,33.00
2013-07-11,38.00
2013-07-12,38.00
2013-07-14,33.00
2013-07-15,33.00
2013-07-16,33.00
2013-07-17,30.00
2013-07-18,33.00
2013-07-19,30.00
2013-07-21,29.00
2013-07-22,29.00
2013-07-23,28.00
2013-07-24,28.00
2013-07-25,19.00
2013-07-26,23.00
2013-07-28,38.00
2013-07-29,33.00
2013-07-30,23.00
2013-07-31,28.00
2013-08-01,28.00
2013-08-02,28.00
2013-08-04,28.00
2013-08-05,29.00
2013-08-06,29.00
2013-08-07,28.00
2013-08-08,28.00
2013-08-12,18.00
2013-08-13,28.00
2013-08-14,33.00
2013-08-15,38.00
2013-08-16,33.00
2013-08-18,31.00
2013-08-19,33.00
2013-08-20,29.00
2013-08-23,29.00
2013-08-25,28.00
2013-08-26,32.00
2013-08-27,29.00
2013-08-29,23.00
2013-08-30,23.00
2013-09-01,23.00
2013-09-02,23.00
2013-09-03,23.00
2013-09-04,23.00
2013-09-05,23.00
2013-09-06,28.00
2013-09-08,23.00
2013-09-09,28.00
2013-09-10,28.00
2013-09-11,28.00
2013-09-12,23.00
2013-09-13,28.00
2013-09-15,28.00
2013-09-16,28.00
2013-09-17,28.00
2013-09-19,23.00
2013-09-20,28.00
2013-09-22,23.00
2013-09-23,28.00
2013-09-24,28.00
2013-09-25,28.00
2013-09-26,23.00
2013-09-27,21.00
2013-09-29,23.00
2013-09-30,22.00
2013-10-01,23.00
2013-10-02,23.00
2013-10-03,23.00
2013-10-04,23.00
2013-10-06,28.00
2013-10-07,28.00
2013-10-08,28.00
2013-10-09,28.00
2013-10-10,23.00
2013-10-11,23.00
2013-10-12,28.00
2013-12-15,195.00
2014-02-26,68.00
2014-03-03,68.00
2014-03-05,68.00
2014-03-06,68.00
2014-03-07,68.00
2014-03-09,68.00
2014-03-10,68.00
2014-03-13,68.00
2014-03-14,68.00
2014-03-28,58.00
2014-04-01,59.00
2014-04-30,58.00
2014-05-02,58.00
2014-05-04,65.00
2014-05-05,63.00
2014-05-06,53.00
2014-05-07,65.00
2014-05-08,58.00
2014-05-09,67.00
2014-05-11,63.00
2014-05-12,63.00
2014-05-13,47.00
2014-05-15,52.00
2014-05-16,48.00
2014-05-18,48.00
2014-05-19,48.00
2014-05-20,53.00
2014-05-21,58.00
2014-05-22,48.00
2014-05-23,48.00
2014-05-25,48.00
2014-05-26,47.00
2014-05-27,43.00
2014-05-28,57.00
2014-05-30,48.00
2014-06-01,47.00
2014-06-02,58.00
2014-06-03,48.00
2014-06-04,48.00
2014-06-05,47.00
