date,avg
2013-05-22,115.00
2013-05-27,115.00
2013-05-28,125.00
2013-05-30,95.00
2013-05-31,95.00
2013-06-02,95.00
2013-06-04,95.00
2013-06-05,95.00
2013-06-06,95.00
2013-06-09,78.00
2013-06-10,78.00
2013-06-12,85.00
2013-06-13,65.00
2013-06-14,75.00
2013-06-16,65.00
2013-06-17,58.00
2013-06-18,58.00
2013-06-19,58.00
2013-06-20,53.00
2013-06-21,58.00
2013-06-25,53.00
2013-06-26,48.00
2013-06-27,48.00
2013-06-28,43.00
2013-06-30,43.00
2013-07-01,39.00
2013-07-02,38.00
2013-07-03,38.00
2013-07-04,38.00
2013-07-05,43.00
2013-07-10,48.00
2013-07-11,48.00
2013-07-12,58.00
2013-07-14,53.00
2013-07-15,58.00
2013-07-16,58.00
2013-07-17,58.00
2013-07-18,58.00
2013-07-19,63.00
2013-07-21,58.00
2013-07-22,55.00
2013-07-23,58.00
2013-07-24,53.00
2013-07-25,58.00
2013-07-26,53.00
2013-07-28,53.00
2013-07-29,53.00
2013-07-30,53.00
2013-07-31,48.00
2013-08-01,53.00
2013-08-02,53.00
2013-08-04,53.00
2013-08-05,48.00
2013-08-06,53.00
2013-08-07,53.00
2013-08-08,58.00
2013-08-12,33.00
2013-08-13,58.00
2013-08-14,58.00
2013-08-15,58.00
2013-08-16,53.00
2013-08-18,53.00
2013-08-19,48.00
2013-08-20,53.00
2013-08-23,43.00
2013-08-25,43.00
2013-08-26,48.00
2013-08-27,48.00
2013-08-29,43.00
2013-08-30,53.00
2013-09-01,58.00
2013-09-02,58.00
2013-09-03,75.00
2013-09-04,65.00
2013-09-05,65.00
2013-09-06,75.00
2013-09-08,75.00
2013-09-09,75.00
2013-09-10,43.00
2013-09-11,38.00
2013-09-12,58.00
2013-09-13,43.00
2013-09-15,38.00
2013-09-16,38.00
2013-09-17,38.00
2013-09-19,38.00
2013-09-20,38.00
2013-09-22,38.00
2013-09-23,38.00
2013-09-24,38.00
2013-09-25,33.00
2013-09-26,40.00
2013-09-27,38.00
2013-09-29,38.00
2013-09-30,38.00
2013-10-01,38.00
2013-10-02,38.00
2013-10-03,38.00
2013-10-04,38.00
2013-10-06,48.00
2013-10-07,38.00
2013-10-08,48.00
2013-10-09,48.00
2013-10-10,43.00
2013-10-11,43.00
2013-10-20,55.00
2013-10-21,43.00
2013-10-22,48.00
2013-10-23,48.00
2013-10-24,48.00
2013-10-25,53.00
2013-10-27,53.00
2013-10-28,53.00
2013-10-29,53.00
2013-10-30,53.00
2013-10-31,58.00
2013-11-01,53.00
2013-11-03,53.00
2014-05-26,117.00
2014-05-30,117.00
2014-06-03,93.00
2014-06-05,93.00
2014-06-06,87.00
2014-06-08,87.00
2014-06-09,67.00
2014-06-10,73.00
2014-06-11,67.00
2014-06-12,67.00
2014-06-13,67.00
2014-06-15,67.00
2014-06-16,67.00
2014-06-17,67.00
2014-06-18,67.00
2014-06-19,65.00
2014-06-20,67.00
2014-06-23,55.00
2014-06-24,48.00
2014-06-25,47.00
2014-06-26,47.00
2014-06-27,43.00
2014-06-29,43.00
2014-06-30,37.00
2014-07-01,38.00
2014-07-02,38.00
2014-07-03,43.00
2014-07-04,38.00
2014-07-05,38.00
2014-07-06,38.00
2014-07-07,42.00
2014-07-08,37.00
2014-07-09,38.00
2014-07-10,38.00
2014-07-11,37.00
2014-07-12,38.00
2014-07-13,38.00
2014-07-14,38.00
2014-07-15,38.00
2014-07-16,38.00
2014-07-17,52.00
2014-07-18,53.00
2014-07-19,53.00
2014-07-20,53.00
2014-07-21,60.00
2014-07-22,65.00
2014-07-23,67.00
2014-07-24,77.00
2014-07-25,78.00
2014-07-26,74.00
2014-07-27,74.00
2014-07-28,67.00
2014-07-29,57.00
2014-07-30,48.00
2014-07-31,48.00
2014-08-01,42.00
2014-08-02,43.00
2014-08-03,42.00
2014-08-04,42.00
2014-08-05,43.00
2014-08-06,54.00
2014-08-07,48.00
2014-08-08,53.00
2014-08-09,48.00
2014-08-11,48.00
2014-08-12,48.00
2014-08-13,42.00
2014-08-14,47.00
2014-08-15,58.00
2014-08-16,53.00
2014-08-17,58.00
2014-08-18,58.00
2014-08-19,55.00
2014-08-20,53.00
2014-08-21,47.00
2014-08-22,43.00
2014-08-23,55.00
2014-08-24,55.00
2014-08-25,48.00
2014-08-26,58.00
2014-08-27,47.00
2014-08-28,58.00
2014-08-29,47.00
2014-08-31,38.00
2014-09-01,43.00
2014-09-02,48.00
2014-09-03,53.00
2014-09-04,48.00
2014-09-05,48.00
2014-09-06,53.00
2014-09-07,41.00
2014-09-08,53.00
2014-09-09,55.00
2014-09-10,53.00
2014-09-11,48.00
2014-09-12,58.00
2014-09-13,58.00
2014-09-14,43.00
2014-09-15,53.00
2014-09-16,47.00
2014-09-17,42.00
2014-09-18,43.00
2014-09-19,45.00
2014-09-20,48.00
2014-09-21,48.00
2014-09-22,45.00
2014-09-23,43.00
2014-09-24,43.00
2014-09-26,48.00
2014-09-28,48.00
2014-09-29,41.00
2014-09-30,43.00
2014-10-08,48.00
2014-10-09,48.00
2014-10-10,48.00
2014-10-12,48.00
2014-10-13,43.00
2014-10-14,42.00
2014-10-16,48.00
2014-10-17,42.00
2014-10-29,43.00
2014-10-30,48.00
2014-10-31,48.00
2014-11-01,48.00
2014-11-02,68.00
2014-11-03,48.00
2014-11-04,43.00
2014-11-05,48.00
2014-11-06,45.00
2014-11-07,43.00
2014-11-08,48.00
2014-11-11,48.00
2014-11-12,48.00
2015-01-09,155.00
2015-06-04,58.00
2015-06-05,68.00
2015-06-06,75.00
2015-06-07,73.00
2015-06-08,73.00
2015-06-09,73.00
2015-06-10,74.00
2015-06-11,73.00
2015-06-12,63.00
2015-06-13,67.00
2015-06-14,63.00
2015-06-15,53.00
2015-06-16,44.00
2015-06-17,51.00
2015-06-18,48.00
2015-06-19,49.00
2015-06-20,48.00
2015-06-21,48.00
2015-06-22,43.00
2015-06-23,39.00
2015-06-24,38.00
2015-06-25,33.00
2015-06-26,38.00
2015-06-27,39.00
2015-06-28,38.00
2015-06-29,38.00
2015-06-30,38.00
2015-07-01,41.00
2015-07-02,42.00
2015-07-03,42.00
2015-07-04,44.00
2015-07-05,45.00
2015-07-06,43.00
2015-07-07,48.00
2015-07-08,45.00
2015-07-09,45.00
2015-07-10,48.00
2015-07-11,43.00
2015-07-12,55.00
2015-07-13,55.00
2015-07-14,55.00
2015-07-15,55.00
2015-07-16,51.00
2015-07-17,55.00
2015-07-18,52.00
2015-07-19,55.00
2015-07-20,55.00
2015-07-21,65.00
2015-07-22,52.00
2015-07-23,55.00
2015-07-24,55.00
2015-07-25,56.00
2015-07-26,65.00
2015-07-27,65.00
2015-07-28,65.00
2015-07-29,65.00
2015-07-30,65.00
2015-07-31,65.00
2015-08-01,65.00
2015-08-02,65.00
2015-08-03,65.00
2015-08-04,65.00
2015-08-05,65.00
2015-08-06,55.00
2015-08-07,65.00
2015-08-08,70.00
2015-08-09,65.00
2015-08-10,65.00
2015-08-11,55.00
2015-08-12,65.00
2015-08-13,65.00
2015-08-14,65.00
2015-08-15,67.00
2015-08-16,65.00
2015-08-17,55.00
2015-08-18,55.00
2015-08-19,56.00
2015-08-20,55.00
2015-08-21,65.00
2015-08-22,68.00
2015-08-23,65.00
2015-08-24,65.00
2015-08-25,65.00
2015-08-26,65.00
2015-08-27,65.00
2015-08-28,69.00
2015-08-29,58.00
2015-08-30,58.00
2015-08-31,62.00
2015-09-01,65.00
2015-09-02,58.00
2015-09-03,55.00
2015-09-04,58.00
2015-09-05,55.00
2015-09-06,55.00
2015-09-07,55.00
2015-09-08,55.00
2015-09-09,54.00
2015-09-10,55.00
2015-09-12,71.00
2015-09-13,55.00
2015-09-14,55.00
2015-09-15,55.00
2015-09-17,55.00
2015-09-18,55.00
2015-09-19,51.00
2015-09-20,55.00
2015-09-21,55.00
2015-09-22,55.00
2015-09-23,55.00
2015-09-24,45.00
2015-09-25,45.00
2015-09-26,48.00
2015-09-27,48.00
2015-09-28,38.00
2015-09-29,45.00
2015-09-30,48.00
2015-10-01,45.00
2015-10-02,45.00
2015-10-03,48.00
2015-10-04,45.00
2015-10-05,45.00
2015-10-06,48.00
2015-10-07,45.00
2015-10-08,45.00
2015-10-09,45.00
2015-10-10,48.00
2015-10-11,53.00
2015-10-12,55.00
2015-10-13,53.00
2015-10-14,55.00
2015-10-15,55.00
2015-10-16,55.00
2015-10-17,55.00
2015-10-19,45.00
2015-10-20,45.00
2015-10-21,45.00
2015-10-27,45.00
2015-10-28,55.00
2016-06-01,95.00
2016-06-02,95.00
2016-06-03,95.00
2016-06-04,95.00
2016-06-05,95.00
2016-06-06,95.00
2016-06-07,95.00
2016-06-08,95.00
2016-06-09,95.00
2016-06-10,95.00
2016-06-11,95.00
2016-06-12,85.00
2016-06-13,88.00
2016-06-14,74.00
2016-06-15,71.00
2016-06-16,62.00
2016-06-17,75.00
2016-06-18,71.00
2016-06-19,65.00
2016-06-20,55.00
2016-06-21,55.00
2016-06-22,55.00
2016-06-23,65.00
2016-06-24,65.00
2016-06-25,68.00
2016-06-26,65.00
2016-06-27,63.00
2016-06-28,65.00
2016-06-29,75.00
2016-06-30,73.00
2016-07-01,65.00
2016-07-02,74.00
2016-07-03,75.00
2016-07-04,75.00
2016-07-05,75.00
2016-07-06,75.00
2016-07-07,75.00
2016-07-08,85.00
2016-07-09,82.00
2016-07-10,95.00
2016-07-11,110.00
2016-07-12,108.00
2016-07-13,115.00
2016-07-14,115.00
2016-07-15,115.00
2016-07-16,113.00
2016-07-17,115.00
2016-07-18,115.00
2016-07-19,115.00
2016-07-20,115.00
2016-07-21,115.00
2016-07-22,115.00
2016-07-24,115.00
2016-07-25,115.00
2016-07-26,125.00
2016-07-27,125.00
2016-07-28,125.00
2016-07-29,125.00
2016-07-30,136.00
2016-07-31,125.00
2016-08-01,97.00
2016-08-02,85.00
2016-08-03,98.00
2016-08-04,82.00
2016-08-05,72.00
2016-08-06,62.00
2016-08-07,72.00
2016-08-08,68.00
2016-08-09,65.00
2016-08-10,65.00
2016-08-11,65.00
2016-08-12,62.00
2016-08-13,62.00
2016-08-14,56.00
2016-08-15,55.00
2016-08-16,52.00
2016-08-17,55.00
2016-08-18,52.00
2016-08-19,58.00
2016-08-20,57.00
2016-08-21,55.00
2016-08-22,52.00
2016-08-23,52.00
2016-08-24,52.00
2016-08-25,51.00
2016-08-26,63.00
2016-08-27,63.00
2016-08-28,72.00
2016-08-29,72.00
2016-08-30,72.00
2016-08-31,72.00
2016-09-01,82.00
2016-09-02,81.00
2016-09-03,82.00
2016-09-04,62.00
2016-09-05,62.00
2016-09-06,68.00
2016-09-07,82.00
2016-09-08,78.00
2016-09-09,75.00
2016-09-10,75.00
2016-09-11,78.00
2016-09-12,82.00
2016-09-13,75.00
2016-09-14,72.00
2016-09-15,54.00
2016-09-16,65.00
2016-09-17,65.00
2016-09-18,62.00
2016-09-19,52.00
2016-09-20,48.00
2016-09-21,48.00
2016-09-22,43.00
2016-09-23,48.00
2016-09-24,47.00
2016-09-25,48.00
2016-09-26,48.00
2016-09-27,41.00
2016-09-28,48.00
2016-09-29,52.00
2016-09-30,48.00
2016-10-01,48.00
2016-10-02,62.00
2016-10-03,58.00
2016-10-04,62.00
2016-10-05,52.00
2016-10-06,58.00
2016-10-07,52.00
2016-10-08,58.00
2016-10-09,52.00
2016-10-10,52.00
2016-10-16,62.00
2016-10-17,55.00
2016-10-18,55.00
2016-10-19,62.00
2016-10-20,62.00
2016-10-21,52.00
2016-10-22,52.00
2016-10-23,58.00
2016-10-24,65.00
2016-10-25,85.00
2016-10-26,85.00
2016-10-27,85.00
2016-10-28,85.00
2016-10-29,85.00
2016-10-30,85.00
2016-10-31,75.00
2016-11-01,75.00
2016-11-02,65.00
2016-11-03,65.00
2016-11-04,65.00
2016-11-05,65.00
2016-11-06,65.00
2016-11-07,55.00
2016-11-08,63.00
2017-06-07,105.00
2017-06-08,95.00
2017-06-09,105.00
2017-06-10,105.00
2017-06-11,85.00
2017-06-12,85.00
2017-06-13,68.00
2017-06-14,68.00
2017-06-15,69.00
2017-06-16,68.00
2017-06-17,68.00
2017-06-18,58.00
2017-06-19,58.00
2017-06-20,62.00
2017-06-21,58.00
2017-06-22,62.00
2017-06-23,52.00
2017-06-24,52.00
2017-06-25,58.00
2017-06-26,58.00
2017-06-27,48.00
2017-06-28,52.00
2017-06-29,48.00
2017-06-30,48.00
2017-07-01,48.00
2017-07-02,48.00
2017-07-03,48.00
2017-07-04,48.00
2017-07-05,48.00
2017-07-06,52.00
2017-07-07,52.00
2017-07-08,53.00
2017-07-09,62.00
2017-07-10,62.00
2017-07-11,62.00
2017-07-12,58.00
2017-07-13,62.00
2017-07-14,62.00
2017-07-15,62.00
2017-07-16,62.00
2017-07-17,63.00
2017-07-18,62.00
2017-07-19,62.00
2017-07-20,58.00
2017-07-21,52.00
2017-07-22,53.00
2017-07-23,72.00
2017-07-24,62.00
2017-07-25,52.00
2017-07-26,52.00
2017-07-27,52.00
2017-07-28,52.00
2017-07-29,53.00
2017-07-30,58.00
2017-07-31,62.00
2017-08-01,62.00
2017-08-02,58.00
2017-08-03,58.00
2017-08-04,52.00
2017-08-05,58.00
2017-08-06,62.00
2017-08-07,62.00
2017-08-08,63.00
2017-08-09,58.00
2017-08-10,68.00
2017-08-11,72.00
2017-08-12,73.00
2017-08-13,82.00
2017-08-14,85.00
2017-08-15,72.00
2017-08-16,78.00
2017-08-17,72.00
2017-08-18,78.00
2017-08-19,78.00
2017-08-20,72.00
2017-08-21,63.00
2017-08-22,68.00
2017-08-23,68.00
2017-08-24,68.00
2017-08-25,68.00
2017-08-26,68.00
2017-08-27,68.00
2017-08-28,68.00
2017-08-29,68.00
2017-08-30,72.00
2017-08-31,68.00
2017-09-01,62.00
2017-09-02,63.00
2017-09-03,58.00
2017-09-04,52.00
2017-09-05,58.00
2017-09-06,62.00
2017-09-07,63.00
2017-09-08,68.00
2017-09-09,68.00
2017-09-10,65.00
2017-09-11,68.00
2017-09-12,42.00
2017-09-13,48.00
2017-09-14,48.00
2017-09-15,48.00
2017-09-16,48.00
2017-09-17,48.00
2017-09-18,48.00
2017-09-20,42.00
2017-09-21,43.00
2017-09-22,55.00
2017-09-23,55.00
2017-09-24,52.00
2017-09-25,48.00
2017-09-26,48.00
2017-09-27,48.00
2017-09-28,48.00
2017-09-29,48.00
2017-10-02,48.00
2017-10-03,48.00
2017-10-04,48.00
2017-10-05,48.00
2017-10-06,48.00
2017-10-07,48.00
2017-10-08,68.00
2017-10-09,48.00
2017-10-10,58.00
2017-10-11,65.00
2017-10-12,65.00
2017-10-13,65.00
2017-10-14,47.00
2017-10-15,85.00
2017-10-16,75.00
