date,avg
2013-05-03,58.00
2013-05-05,58.00
2013-05-06,58.00
2013-05-07,58.00
2013-05-15,57.00
2013-05-16,48.00
2013-05-17,48.00
2013-05-19,48.00
2013-05-20,38.00
2013-05-21,38.00
2013-05-22,48.00
2013-05-23,43.00
2013-05-24,48.00
2013-05-26,48.00
2013-05-27,43.00
2013-05-28,48.00
2013-05-30,48.00
2013-05-31,48.00
2013-06-02,43.00
2013-06-03,48.00
2013-06-04,48.00
2013-06-05,48.00
2013-06-06,48.00
2013-06-09,48.00
2013-06-10,58.00
2013-06-11,48.00
2013-06-12,48.00
2013-06-13,48.00
2013-06-14,48.00
2013-06-16,48.00
2013-06-17,48.00
2013-06-19,43.00
2013-06-20,48.00
2013-06-21,48.00
2013-06-25,48.00
2013-06-26,48.00
2013-06-27,25.00
2013-06-28,43.00
2013-06-30,43.00
2013-07-01,43.00
2013-07-02,43.00
2013-07-03,43.00
2013-07-04,43.00
2013-07-09,43.00
2013-07-10,43.00
2013-07-11,43.00
2013-07-12,33.00
2013-07-14,43.00
2013-07-15,33.00
2013-07-16,33.00
2013-07-17,33.00
2013-07-18,33.00
2013-07-19,38.00
2013-07-21,30.00
2013-07-22,23.00
2013-07-23,23.00
2013-07-24,23.00
2013-07-25,28.00
2013-07-26,23.00
2013-07-28,23.00
2013-07-29,23.00
2013-07-30,23.00
2013-07-31,28.00
2013-08-01,23.00
2013-08-02,23.00
2013-08-04,23.00
2013-08-05,23.00
2013-08-06,31.00
2013-08-07,33.00
2013-08-08,33.00
2013-08-13,28.00
2013-08-14,28.00
2013-08-15,33.00
2013-08-16,33.00
2013-08-18,29.00
2013-08-19,33.00
2013-08-20,29.00
2013-08-23,29.00
2013-08-25,28.00
2013-08-26,31.00
2013-08-27,28.00
2013-08-29,29.00
2013-08-30,29.00
2013-09-01,29.00
2013-09-04,33.00
2013-09-05,33.00
2013-09-06,38.00
2013-09-08,33.00
2013-09-09,33.00
2013-09-10,38.00
2013-09-11,33.00
2013-09-12,33.00
2013-09-13,33.00
2013-09-15,38.00
2013-09-16,33.00
2013-09-17,38.00
2013-09-19,33.00
2013-09-20,33.00
2013-09-22,33.00
2013-09-23,33.00
2013-09-24,33.00
2013-09-25,33.00
2014-04-03,58.00
2014-04-27,49.00
2014-04-28,53.00
2014-04-29,48.00
2014-04-30,48.00
2014-05-02,48.00
2014-05-04,48.00
2014-05-05,38.00
2014-05-06,48.00
2014-05-07,47.00
2014-05-08,48.00
2014-05-09,48.00
2014-05-11,47.00
2014-05-12,47.00
2014-05-13,48.00
2014-05-15,47.00
2014-05-16,47.00
2014-05-18,48.00
2014-05-19,48.00
2014-05-20,48.00
2014-05-21,48.00
2014-05-22,29.00
2014-05-23,29.00
2014-05-25,47.00
2014-05-26,29.00
2014-05-27,33.00
2014-05-28,43.00
