date,avg
2013-04-15,19.00
2013-04-16,18.00
2013-04-17,18.00
2013-04-18,21.00
2013-04-21,12.00
2013-04-22,11.00
2013-04-23,10.00
2013-04-25,14.00
2013-04-26,12.00
2013-04-28,11.00
2013-04-29,13.00
2013-04-30,11.00
2013-05-02,12.00
2013-05-03,11.00
2013-05-05,9.00
2013-05-06,9.00
2013-05-07,11.00
2013-05-08,9.00
2013-05-09,9.00
2013-05-10,9.00
2013-05-12,9.00
2013-05-13,9.00
2013-05-14,7.00
2013-05-15,6.00
2013-05-16,10.00
2013-05-17,11.00
2013-05-19,5.00
2013-05-20,5.00
2013-05-21,5.00
2013-05-22,5.00
2013-05-23,5.00
2013-05-24,7.00
2013-05-26,6.00
2013-05-27,7.00
2013-05-28,11.00
2013-05-30,9.00
2013-05-31,14.00
2013-06-02,12.00
2013-06-03,16.00
2013-06-04,17.00
2013-06-05,19.00
2013-06-06,20.00
2013-06-09,23.00
2013-06-10,28.00
2013-06-11,29.00
2013-06-12,28.00
2013-06-13,28.00
2013-06-14,33.00
2013-06-16,33.00
2013-06-17,23.00
2013-06-18,19.00
2013-06-19,18.00
2013-06-20,18.00
2013-06-21,19.00
2013-06-25,18.00
2013-06-26,22.00
2013-06-27,22.00
2013-06-28,20.00
2013-06-30,17.00
2013-07-01,18.00
2013-07-02,33.00
2013-07-03,38.00
2013-07-04,38.00
2013-07-05,38.00
2013-07-09,33.00
2013-07-10,33.00
2013-07-11,53.00
2013-07-12,48.00
2013-07-14,48.00
2013-07-15,38.00
2013-07-16,48.00
2013-07-17,43.00
2013-07-18,38.00
2013-07-19,38.00
2013-07-21,33.00
2013-07-22,29.00
2013-07-23,28.00
2013-07-24,33.00
2013-07-25,28.00
2013-07-26,33.00
2013-07-28,33.00
2013-07-29,28.00
2013-07-30,33.00
2013-07-31,33.00
2013-08-01,33.00
2013-08-02,31.00
2013-08-04,33.00
2013-08-05,38.00
2013-08-06,33.00
2013-08-07,30.00
2013-08-08,38.00
2013-08-12,33.00
2013-08-13,33.00
2013-08-14,33.00
2013-08-15,38.00
2013-08-16,33.00
2013-08-18,48.00
2013-08-19,38.00
2013-08-20,43.00
2013-08-23,33.00
2013-08-25,33.00
2013-08-26,38.00
2013-08-27,33.00
2013-08-29,38.00
2013-08-30,38.00
2013-09-01,33.00
2013-09-02,33.00
2013-09-03,33.00
2013-09-04,33.00
2013-09-05,33.00
2013-09-06,28.00
2013-09-08,23.00
2013-09-09,28.00
2013-09-10,23.00
2013-09-11,23.00
2013-09-12,23.00
2013-09-13,23.00
2013-09-15,23.00
2013-09-16,23.00
2013-09-17,33.00
2013-09-19,28.00
2013-09-20,23.00
2013-09-22,22.00
2013-09-23,23.00
2013-09-24,18.00
2013-09-25,18.00
2013-09-26,18.00
2013-09-27,18.00
2013-09-29,18.00
2013-09-30,18.00
2013-10-01,18.00
2013-10-02,18.00
2013-10-03,18.00
2013-10-04,18.00
2013-10-06,38.00
2013-10-07,28.00
2013-10-08,18.00
2013-10-09,18.00
2013-10-10,23.00
2013-10-11,28.00
2013-10-12,19.00
2013-10-13,19.00
2013-10-14,19.00
2013-10-15,17.00
2013-10-16,23.00
2013-10-17,19.00
2013-10-20,15.00
2013-10-21,18.00
2013-10-22,19.00
2013-10-23,29.00
2013-10-24,29.00
2013-10-25,28.00
2013-10-27,33.00
2013-10-28,35.00
2013-10-29,33.00
2013-10-30,45.00
2013-10-31,45.00
2013-11-01,39.00
2013-11-03,38.00
2013-11-04,38.00
2013-11-05,38.00
2013-11-06,43.00
2013-11-07,39.00
2013-11-11,38.00
2013-11-12,43.00
2013-11-14,43.00
2013-11-15,35.00
2013-11-16,38.00
2013-11-17,41.00
2013-11-21,48.00
2013-11-22,45.00
2013-11-24,43.00
2013-11-25,43.00
2013-11-26,38.00
2013-11-27,38.00
2013-11-28,38.00
2013-11-29,38.00
2013-12-01,38.00
2013-12-02,33.00
2013-12-03,43.00
2013-12-04,38.00
2013-12-05,38.00
2013-12-06,37.00
2013-12-08,33.00
2013-12-09,38.00
2013-12-10,38.00
2013-12-11,39.00
2013-12-12,38.00
2013-12-13,38.00
2013-12-15,38.00
2013-12-16,33.00
2013-12-18,33.00
2013-12-19,28.00
2013-12-20,33.00
2013-12-22,33.00
2013-12-23,28.00
2013-12-24,29.00
2013-12-26,27.00
2013-12-27,38.00
2013-12-29,29.00
2013-12-31,23.00
2014-01-01,23.00
2014-01-02,20.00
2014-01-03,22.00
2014-01-05,23.00
2014-01-06,19.00
2014-01-07,19.00
2014-01-08,21.00
2014-01-09,19.00
2014-01-10,17.00
2014-01-12,18.00
2014-01-13,19.00
2014-01-14,17.00
2014-01-16,16.00
2014-01-17,18.00
2014-01-19,19.00
2014-01-20,17.00
2014-01-21,17.00
2014-01-22,16.00
2014-01-23,14.00
2014-01-24,14.00
2014-01-26,20.00
2014-01-27,19.00
2014-01-28,14.00
2014-01-29,15.00
2014-02-02,12.00
2014-02-03,16.00
2014-02-04,11.00
2014-02-05,11.00
2014-02-06,11.00
2014-02-07,11.00
2014-02-09,18.00
2014-02-10,20.00
2014-02-11,20.00
2014-02-12,28.00
2014-02-13,22.00
2014-02-14,14.00
2014-02-16,28.00
2014-02-17,20.00
2014-02-18,23.00
2014-02-20,22.00
2014-02-21,28.00
2014-02-23,28.00
2014-02-24,28.00
2014-02-25,25.00
2014-02-26,24.00
2014-02-28,23.00
2014-03-03,22.00
2014-03-05,23.00
2014-03-07,20.00
2014-03-09,20.00
2014-03-10,20.00
2014-03-11,20.00
2014-03-12,19.00
2014-03-13,20.00
2014-03-14,19.00
2014-03-17,19.00
2014-03-18,19.00
2014-03-19,18.00
2014-03-20,18.00
2014-03-21,16.00
2014-03-23,14.00
2014-03-24,14.00
2014-03-25,14.00
2014-03-26,16.00
2014-03-27,17.00
2014-03-28,17.00
2014-03-31,20.00
2014-04-01,19.00
2014-04-02,18.00
2014-04-03,12.00
2014-04-04,10.00
2014-04-06,10.00
2014-04-07,10.00
2014-04-09,10.00
2014-04-10,11.00
2014-04-11,18.00
2014-04-13,19.00
2014-04-15,19.00
2014-04-16,19.00
2014-04-17,17.00
2014-04-18,18.00
2014-04-20,21.00
2014-04-21,22.00
2014-04-22,21.00
2014-04-23,28.00
2014-04-25,22.00
2014-04-27,27.00
2014-04-28,23.00
2014-04-29,23.00
2014-04-30,22.00
2014-05-02,22.00
2014-05-04,19.00
2014-05-05,23.00
2014-05-06,19.00
2014-05-07,28.00
2014-05-08,23.00
2014-05-09,29.00
2014-05-11,28.00
2014-05-12,28.00
2014-05-13,28.00
2014-05-15,29.00
2014-05-16,27.00
2014-05-18,24.00
2014-05-19,33.00
2014-05-20,33.00
2014-05-21,33.00
2014-05-22,33.00
2014-05-23,33.00
2014-05-25,33.00
2014-05-26,27.00
2014-05-27,31.00
2014-05-28,29.00
2014-05-30,33.00
2014-06-01,33.00
2014-06-02,30.00
2014-06-03,33.00
2014-06-04,33.00
2014-06-05,33.00
2014-06-06,33.00
2014-06-08,33.00
2014-06-09,29.00
2014-06-10,33.00
2014-06-11,33.00
2014-06-12,33.00
2014-06-13,29.00
2014-06-15,32.00
2014-06-16,29.00
2014-06-17,29.00
2014-06-18,28.00
2014-06-19,29.00
2014-06-20,29.00
2014-06-23,29.00
2014-06-24,29.00
2014-06-25,28.00
2014-06-26,29.00
2014-06-27,29.00
2014-06-29,17.00
2014-06-30,30.00
2014-07-01,29.00
2014-07-02,30.00
2014-07-03,36.00
2014-07-04,23.00
2014-07-05,48.00
2014-07-06,48.00
2014-07-07,49.00
2014-07-08,49.00
2014-07-09,48.00
2014-07-10,48.00
2014-07-11,53.00
2014-07-13,30.00
2014-07-14,53.00
2014-07-15,45.00
2014-07-16,58.00
2014-07-17,58.00
2014-07-18,58.00
2014-07-21,58.00
2014-07-22,58.00
2014-07-23,58.00
2014-07-24,58.00
2014-07-25,48.00
2014-07-26,58.00
2014-07-27,58.00
2014-07-28,38.00
2014-07-29,38.00
2014-07-30,38.00
2014-07-31,38.00
2014-08-01,38.00
2014-08-02,32.00
2014-08-03,30.00
2014-08-04,27.00
2014-08-05,22.00
2014-08-06,48.00
2014-08-07,28.00
2014-08-08,25.00
2014-08-09,20.00
2014-08-10,21.00
2014-08-11,28.00
2014-08-12,30.00
2014-08-13,23.00
2014-08-14,23.00
2014-08-15,28.00
2014-08-16,29.00
2014-08-17,29.00
2014-08-18,23.00
2014-08-19,19.00
2014-08-20,38.00
2014-08-21,45.00
2014-08-22,48.00
2014-08-23,48.00
2014-08-24,48.00
2014-08-25,47.00
2014-08-26,42.00
2014-08-27,47.00
2014-08-28,29.00
2014-08-29,45.00
2014-08-31,39.00
2014-09-01,43.00
2014-09-02,44.00
2014-09-03,38.00
2014-09-04,40.00
2014-09-05,43.00
2014-09-06,43.00
2014-09-07,41.00
2014-09-08,28.00
2014-09-09,33.00
2014-09-10,27.00
2014-09-11,28.00
2014-09-12,29.00
2014-09-13,28.00
2014-09-14,24.00
2014-09-15,33.00
2014-09-16,27.00
2014-09-17,27.00
2014-09-18,28.00
2014-09-19,28.00
2014-09-20,28.00
2014-09-21,28.00
2014-09-22,28.00
2014-09-23,28.00
2014-09-24,28.00
2014-09-26,29.00
2014-09-28,29.00
2014-09-29,28.00
2014-09-30,33.00
2014-10-08,32.00
2014-10-09,28.00
2014-10-10,30.00
2014-10-12,28.00
2014-10-13,29.00
2014-10-14,28.00
2014-10-16,30.00
2014-10-17,24.00
2014-10-19,18.00
2014-10-20,22.00
2014-10-21,23.00
2014-10-22,28.00
2014-10-23,35.00
2014-10-24,34.00
2014-10-25,43.00
2014-10-27,43.00
