date,avg
2019-06-04,38.00
2019-06-05,38.00
2019-06-06,38.00
2019-06-07,38.00
2019-06-08,38.00
2019-06-09,48.00
2019-06-10,48.00
2019-06-11,48.00
2019-06-12,48.00
2019-06-13,48.00
2019-06-14,48.00
2019-06-15,58.00
2019-06-16,62.00
2019-06-17,58.00
2019-06-18,58.00
2019-06-19,48.00
2019-06-20,48.00
2019-06-21,48.00
2019-06-22,38.00
2019-06-23,42.00
2019-06-24,48.00
2019-06-25,52.00
2019-06-26,48.00
2019-06-27,48.00
2019-06-28,48.00
2019-06-29,48.00
2019-06-30,42.00
2019-07-01,42.00
2019-07-02,38.00
2019-07-03,38.00
2019-07-04,58.00
2019-07-05,48.00
2019-07-06,58.00
2019-07-07,52.00
2019-07-08,55.00
2019-07-09,52.00
2019-07-10,52.00
2019-07-11,58.00
2019-07-12,58.00
2019-07-14,58.00
2019-07-15,58.00
2019-07-16,58.00
2019-07-17,58.00
2019-07-18,68.00
2019-07-19,58.00
2019-07-20,78.00
2019-07-21,78.00
2019-07-22,68.00
2019-07-23,78.00
2019-07-24,78.00
2019-07-25,98.00
2019-07-26,98.00
2019-07-27,98.00
2019-07-28,98.00
2019-07-29,68.00
2019-07-30,88.00
2019-07-31,68.00
2019-08-01,78.00
2019-08-02,88.00
2019-08-03,78.00
2019-08-04,78.00
2019-08-05,72.00
2019-08-06,68.00
2019-08-07,72.00
2019-08-08,68.00
2019-08-09,72.00
2019-08-10,68.00
2019-08-11,68.00
2019-08-12,62.00
2019-08-13,62.00
2019-08-14,55.00
2019-08-15,48.00
2019-08-16,48.00
2019-08-17,45.00
2019-08-18,48.00
2019-08-19,38.00
2019-08-20,42.00
2019-08-21,48.00
2019-08-22,48.00
2019-08-23,55.00
2019-08-24,48.00
2019-08-25,48.00
2019-08-26,48.00
2019-08-27,48.00
2019-08-28,38.00
2019-08-29,48.00
2019-08-30,52.00
2019-08-31,48.00
2019-09-01,45.00
2019-09-02,38.00
2019-09-03,48.00
2019-09-04,48.00
2019-09-05,38.00
2019-09-06,38.00
2019-09-07,38.00
2019-09-08,38.00
2019-09-09,38.00
2019-09-10,38.00
2019-09-11,38.00
2019-09-12,38.00
2019-09-13,38.00
2019-09-14,38.00
2019-09-15,42.00
2019-09-16,42.00
2019-09-17,48.00
2019-09-18,58.00
2019-09-19,58.00
2019-09-20,58.00
2019-09-21,48.00
2019-09-22,58.00
2019-09-23,52.00
2019-09-24,78.00
2019-09-25,78.00
2019-09-26,58.00
2019-09-27,48.00
2019-09-28,58.00
2019-09-29,58.00
2019-09-30,58.00
2019-10-01,58.00
2019-10-02,58.00
2019-10-03,58.00
2019-10-04,58.00
2019-10-05,58.00
2019-10-06,58.00
2019-10-07,58.00
2019-10-08,58.00
2019-10-11,55.00
2019-10-12,48.00
2019-10-13,48.00
2019-10-14,78.00
2019-10-15,38.00
2019-10-16,38.00
2019-10-17,42.00
2019-10-18,48.00
2019-10-19,55.00
2019-10-20,48.00
2019-10-21,48.00
2019-10-22,48.00
2019-10-23,48.00
2019-10-24,68.00
2019-10-25,58.00
2019-10-26,58.00
2019-10-27,55.00
2019-10-28,55.00
2019-10-29,62.00
2019-10-31,58.00
2019-11-01,58.00
2019-11-02,58.00
2019-11-03,68.00
2019-11-04,58.00
2019-11-05,58.00
