date,avg
2014-01-07,190.00
2014-01-08,190.00
2014-01-09,190.00
2014-01-10,190.00
2014-01-29,325.00
2014-02-09,225.00
2014-02-10,195.00
2014-02-11,190.00
2014-02-12,195.00
2014-02-13,195.00
2014-02-14,195.00
2014-02-16,190.00
2014-02-17,190.00
2014-02-18,190.00
2014-02-20,190.00
2014-02-21,195.00
2014-02-23,195.00
2014-02-24,195.00
2014-02-25,195.00
2014-02-26,195.00
2014-02-28,195.00
2014-03-03,195.00
2014-03-06,195.00
2014-03-07,195.00
2014-03-09,195.00
2014-03-10,195.00
2014-03-11,195.00
2014-03-12,195.00
2014-03-13,195.00
2014-03-14,195.00
2014-03-17,195.00
2014-03-18,195.00
2014-03-19,190.00
2014-03-20,195.00
2014-03-21,195.00
2014-03-23,195.00
2014-03-24,195.00
2014-03-25,195.00
2014-03-26,195.00
2014-03-27,195.00
2014-03-28,195.00
2014-04-09,195.00
2014-04-10,195.00
2014-04-11,195.00
2014-04-13,195.00
2014-04-15,195.00
2014-04-16,195.00
2014-12-31,275.00
2015-01-01,275.00
2015-01-02,275.00
2015-01-04,283.00
2015-01-05,275.00
2015-01-06,275.00
2015-01-08,275.00
2015-01-09,275.00
2015-01-11,275.00
2015-01-12,283.00
2015-01-13,275.00
2015-01-14,283.00
2015-01-16,275.00
2015-01-19,275.00
2015-01-20,225.00
2015-01-21,225.00
2015-01-22,210.00
2015-01-23,210.00
2015-01-25,210.00
2015-01-26,210.00
2015-01-27,210.00
2015-01-28,210.00
2015-01-29,210.00
2015-01-31,210.00
2015-02-18,390.00
2015-02-19,325.00
2015-02-20,375.00
2015-02-22,375.00
2015-02-23,375.00
2016-01-09,255.00
2020-11-19,575.00
2020-11-24,675.00
2020-11-25,550.00
2020-11-26,475.00
2020-11-27,525.00
2020-11-28,475.00
2020-11-29,475.00
2020-11-30,475.00
2020-12-01,475.00
2020-12-02,525.00
2020-12-03,475.00
2020-12-04,475.00
2020-12-05,475.00
2020-12-06,475.00
2020-12-07,475.00
2020-12-08,475.00
2020-12-09,475.00
2020-12-10,475.00
