date,avg
2013-04-15,48.00
2013-04-16,48.00
2013-04-17,58.00
2013-04-18,58.00
2013-04-21,47.00
2013-04-22,55.00
2013-04-23,55.00
2013-04-25,55.00
2013-04-26,55.00
2013-04-28,55.00
2013-04-29,47.00
2013-04-30,55.00
2013-05-02,55.00
2013-05-03,55.00
2013-05-05,55.00
2013-05-06,55.00
2013-05-07,55.00
2013-05-08,38.00
2013-05-09,38.00
2013-05-10,45.00
2013-05-12,45.00
2013-05-13,45.00
2013-05-14,38.00
2013-05-15,38.00
2013-05-16,38.00
2013-05-17,55.00
2013-05-19,55.00
2013-05-20,55.00
2013-05-21,38.00
2013-05-22,38.00
2013-05-23,38.00
2013-05-24,38.00
2013-05-26,55.00
2013-05-27,38.00
2013-05-28,38.00
2013-05-30,38.00
2013-05-31,38.00
2013-06-02,38.00
2013-06-03,38.00
2013-06-04,38.00
2013-06-05,38.00
2013-06-06,38.00
2013-06-09,38.00
2013-06-10,38.00
2013-06-11,38.00
2013-06-12,38.00
2013-06-13,38.00
2013-06-14,38.00
2013-06-16,38.00
2013-06-17,38.00
2013-06-18,38.00
2013-06-19,48.00
2013-06-20,38.00
2013-06-21,38.00
2013-06-25,38.00
2013-06-26,38.00
2013-06-27,38.00
2013-06-28,38.00
2013-06-30,38.00
2013-07-01,38.00
2013-07-02,38.00
2013-07-03,58.00
2013-07-04,55.00
2013-07-05,58.00
2013-07-09,58.00
2013-07-10,58.00
2013-07-11,58.00
2013-07-12,58.00
2013-07-14,58.00
2013-07-15,58.00
2013-07-16,58.00
2013-07-17,58.00
2013-07-18,58.00
2013-07-19,58.00
2013-07-21,58.00
2013-07-22,58.00
2013-07-23,58.00
2013-07-24,58.00
2013-07-25,58.00
2013-07-26,58.00
2013-07-28,58.00
2013-07-29,58.00
2013-07-30,55.00
2013-07-31,55.00
2013-08-01,55.00
2013-08-02,55.00
2013-08-04,58.00
2013-08-05,55.00
2013-08-06,55.00
2013-08-07,55.00
2013-08-08,55.00
2013-08-12,350.00
2013-08-13,55.00
2013-08-14,53.00
2013-08-15,55.00
2013-08-16,55.00
2013-08-18,55.00
2013-08-19,55.00
2013-08-20,55.00
2013-08-23,55.00
2013-08-25,55.00
2013-08-26,55.00
2013-08-27,55.00
2013-08-29,55.00
2013-08-30,55.00
2013-09-01,55.00
2013-09-02,55.00
2013-09-03,55.00
2013-09-04,55.00
2013-09-05,55.00
2013-09-06,55.00
2013-09-08,55.00
2013-09-09,55.00
2013-09-10,55.00
2013-09-11,55.00
2013-09-12,55.00
2013-09-13,55.00
2013-09-15,55.00
2013-09-16,55.00
2013-09-17,55.00
2013-09-19,55.00
2013-09-20,55.00
2013-09-22,55.00
2013-09-23,55.00
2013-09-24,55.00
2013-09-25,55.00
2013-09-26,55.00
2013-09-27,55.00
2013-09-29,55.00
2013-09-30,75.00
2013-10-01,65.00
2013-10-02,75.00
2013-10-03,65.00
2013-10-04,65.00
2013-10-06,65.00
2013-10-07,65.00
2013-10-08,65.00
2013-10-09,65.00
2013-10-10,65.00
2013-10-11,65.00
2013-10-12,65.00
2013-10-13,55.00
2013-10-16,65.00
2013-10-17,65.00
2013-10-20,65.00
2013-10-21,55.00
2013-10-22,55.00
2013-10-23,55.00
2013-10-24,55.00
2013-10-25,55.00
2013-10-27,55.00
2013-10-28,55.00
2013-10-29,65.00
2013-10-30,65.00
2013-10-31,65.00
2013-11-01,65.00
2013-11-03,65.00
2013-11-04,65.00
2013-11-07,65.00
2013-11-10,95.00
2013-11-12,110.00
2013-11-15,110.00
2013-11-16,105.00
2013-11-17,110.00
2013-11-18,110.00
2013-11-20,125.00
2013-11-21,58.00
2013-11-22,65.00
2013-11-24,55.00
2013-11-25,65.00
2013-11-26,55.00
2013-11-27,65.00
2013-11-28,65.00
2013-11-29,65.00
2013-12-01,85.00
2013-12-02,65.00
2013-12-03,75.00
2013-12-04,85.00
2013-12-05,85.00
2013-12-06,65.00
2013-12-08,65.00
2013-12-09,75.00
2013-12-10,75.00
2013-12-12,75.00
2013-12-13,75.00
2013-12-15,38.00
2013-12-16,85.00
2013-12-18,95.00
2013-12-19,85.00
2013-12-20,85.00
2013-12-22,85.00
2013-12-23,105.00
2013-12-24,125.00
2013-12-26,115.00
2013-12-27,115.00
2013-12-29,105.00
2013-12-31,95.00
2014-01-01,95.00
2014-01-02,95.00
2014-01-03,95.00
2014-01-05,95.00
2014-01-06,95.00
2014-01-07,95.00
2014-01-08,85.00
2014-01-09,78.00
2014-01-10,78.00
2014-01-12,85.00
2014-01-13,85.00
2014-01-14,85.00
2014-01-16,95.00
2014-01-17,85.00
2014-01-19,85.00
2014-01-20,95.00
2014-01-21,95.00
2014-01-22,75.00
2014-01-23,75.00
2014-01-24,85.00
2014-01-26,75.00
2014-01-27,85.00
2014-01-28,85.00
2014-01-29,85.00
2014-02-02,85.00
2014-02-03,55.00
2014-02-04,75.00
2014-02-05,45.00
2014-02-06,55.00
2014-02-07,85.00
2014-02-09,55.00
2014-02-10,65.00
2014-02-11,45.00
2014-02-12,55.00
2014-02-13,57.00
2014-02-14,55.00
2014-02-16,55.00
2014-02-17,65.00
2014-02-18,65.00
2014-02-20,65.00
2014-02-21,65.00
2014-02-23,65.00
2014-02-24,65.00
2014-02-25,65.00
2014-02-26,65.00
2014-02-28,65.00
2014-03-03,65.00
2014-03-05,85.00
2014-03-06,85.00
2014-03-07,75.00
2014-03-09,85.00
2014-03-10,75.00
2014-03-11,75.00
2014-03-12,75.00
2014-03-13,75.00
2014-03-14,75.00
2014-03-17,45.00
2014-03-18,55.00
2014-03-19,45.00
2014-03-20,45.00
2014-03-21,55.00
2014-03-23,48.00
2014-03-24,45.00
2014-03-25,55.00
2014-03-26,55.00
2014-03-27,45.00
2014-03-28,55.00
2014-03-31,67.00
2014-04-02,75.00
2014-04-03,73.00
2014-04-04,58.00
2014-04-06,68.00
2014-04-07,65.00
2014-04-09,55.00
2014-04-10,55.00
2014-04-11,55.00
2014-04-13,58.00
2014-04-15,55.00
2014-04-16,65.00
2014-04-17,65.00
2014-04-18,55.00
2014-04-20,45.00
2014-04-21,45.00
2014-04-22,55.00
2014-04-23,55.00
2014-04-25,55.00
2014-04-27,55.00
2014-04-28,48.00
2014-04-29,45.00
2014-04-30,43.00
2014-05-02,45.00
2014-05-04,53.00
2014-05-05,53.00
2014-05-06,57.00
2014-05-07,57.00
2014-05-08,43.00
2014-05-09,55.00
2014-05-11,53.00
2014-05-12,53.00
2014-05-13,57.00
2014-05-15,53.00
2014-05-16,57.00
2014-05-18,55.00
2014-05-20,57.00
2014-05-21,45.00
2014-05-22,55.00
2014-05-23,55.00
2014-05-25,53.00
2014-05-26,53.00
2014-05-27,55.00
2014-05-28,53.00
2014-05-30,53.00
2014-06-01,57.00
2014-06-02,55.00
2014-06-03,53.00
2014-06-04,53.00
2014-06-05,55.00
2014-06-06,53.00
2014-06-08,57.00
2014-06-09,57.00
2014-06-10,65.00
2014-06-11,65.00
2014-06-12,55.00
2014-06-13,53.00
2014-06-15,55.00
2014-06-16,55.00
2014-06-17,55.00
2014-06-18,55.00
2014-06-19,55.00
2014-06-20,57.00
2014-06-23,55.00
2014-06-24,55.00
2014-06-25,55.00
2014-06-26,55.00
2014-06-27,55.00
2014-06-29,48.00
2014-06-30,55.00
2014-07-01,55.00
2014-07-02,55.00
2014-07-03,67.00
2014-07-04,65.00
2014-07-10,65.00
2014-07-11,65.00
2014-07-12,65.00
2014-07-13,65.00
2014-07-14,67.00
2014-07-15,65.00
2014-07-16,65.00
2014-07-17,65.00
2014-07-18,65.00
2014-07-19,65.00
2014-07-20,65.00
2014-07-21,65.00
2014-07-22,65.00
2014-07-23,65.00
2014-07-24,65.00
2014-07-25,65.00
2014-07-26,65.00
2014-07-27,65.00
2014-07-28,65.00
2014-07-29,65.00
2014-07-30,65.00
2014-07-31,75.00
2014-08-01,65.00
2014-08-02,65.00
2014-08-03,65.00
2014-08-04,65.00
2014-08-05,55.00
2014-08-06,65.00
2014-08-07,67.00
2014-08-08,65.00
2014-08-09,65.00
2014-08-10,65.00
2014-08-11,65.00
2014-08-12,65.00
2014-08-13,65.00
2014-08-14,65.00
2014-08-16,65.00
2014-08-17,65.00
2014-08-18,65.00
2014-08-19,65.00
2014-08-20,65.00
2014-08-21,65.00
2014-08-22,65.00
2014-08-23,65.00
2014-08-24,65.00
2014-08-25,65.00
2014-08-26,65.00
2014-08-27,65.00
2014-08-28,65.00
2014-08-29,65.00
2014-08-31,65.00
2014-09-01,65.00
2014-09-02,65.00
2014-09-03,65.00
2014-09-04,65.00
2014-09-05,65.00
2014-09-06,65.00
2014-09-07,65.00
2014-09-08,65.00
2014-09-09,65.00
2014-09-10,65.00
2014-09-11,65.00
2014-09-12,65.00
2014-09-13,65.00
2014-09-15,65.00
2014-09-16,75.00
2014-09-17,70.00
2014-09-18,65.00
2014-09-19,65.00
2014-09-20,65.00
2014-09-21,65.00
2014-09-22,65.00
2014-09-23,65.00
2014-09-24,65.00
2014-09-26,65.00
2014-09-28,65.00
2014-09-29,65.00
2014-09-30,65.00
2014-10-08,65.00
2014-10-09,65.00
2014-10-10,65.00
2014-10-12,65.00
2014-10-13,65.00
2014-10-14,65.00
2014-10-15,65.00
2014-10-17,65.00
2014-10-19,65.00
2014-10-20,65.00
2014-10-21,65.00
2014-10-22,70.00
2014-10-23,68.00
2014-10-24,68.00
2014-11-10,97.00
2014-11-11,97.00
2014-11-12,95.00
2014-11-13,95.00
2014-11-14,95.00
2014-11-15,95.00
2014-11-16,95.00
2014-11-17,97.00
2014-11-18,95.00
2014-11-20,95.00
2014-11-21,95.00
2014-11-23,95.00
2014-11-24,95.00
2014-11-25,95.00
2014-11-26,95.00
2014-11-29,97.00
2014-12-01,97.00
2014-12-02,87.00
2014-12-03,65.00
2014-12-04,58.00
2014-12-05,117.00
2014-12-06,97.00
2014-12-07,97.00
2014-12-08,85.00
2014-12-11,85.00
2014-12-12,67.00
2014-12-13,58.00
2014-12-14,58.00
2014-12-15,67.00
2014-12-16,65.00
2014-12-17,65.00
2014-12-18,67.00
2014-12-19,58.00
2014-12-21,67.00
2014-12-22,58.00
2014-12-23,65.00
2014-12-24,65.00
2014-12-25,65.00
2014-12-26,65.00
2014-12-27,70.00
2014-12-28,65.00
2014-12-29,75.00
2014-12-30,70.00
2014-12-31,85.00
2015-01-01,75.00
2015-01-02,85.00
2015-01-03,70.00
2015-01-04,77.00
2015-01-05,87.00
2015-01-06,65.00
2015-01-07,55.00
2015-01-08,67.00
2015-01-09,67.00
2015-01-11,65.00
2015-01-12,67.00
2015-01-13,67.00
2015-01-14,67.00
2015-01-15,65.00
2015-01-16,67.00
2015-01-17,65.00
2015-01-18,65.00
2015-01-19,67.00
2015-01-20,67.00
2015-01-21,58.00
2015-01-22,67.00
2015-01-23,67.00
2015-01-25,57.00
2015-01-26,67.00
2015-01-27,67.00
2015-01-28,67.00
2015-01-29,67.00
2015-01-31,67.00
2015-02-01,65.00
2015-02-02,67.00
2015-02-03,65.00
2015-02-04,67.00
2015-02-05,57.00
2015-02-06,65.00
2015-02-07,65.00
2015-02-08,67.00
2015-02-09,67.00
2015-02-10,65.00
2015-02-11,57.00
2015-02-12,55.00
2015-02-13,57.00
2015-02-14,57.00
2015-02-15,57.00
2015-02-16,53.00
2015-02-18,53.00
2015-02-19,55.00
2015-02-20,57.00
2015-02-22,57.00
2015-02-23,55.00
2015-02-24,55.00
2015-02-25,55.00
2015-02-26,48.00
2015-02-27,48.00
2015-03-01,57.00
2015-03-02,55.00
2015-03-03,53.00
2015-03-06,53.00
2015-03-09,53.00
2015-03-10,53.00
2015-03-11,53.00
2015-03-12,53.00
2015-03-13,57.00
2015-03-14,57.00
2015-03-15,57.00
2015-03-16,57.00
2015-03-17,67.00
2015-03-18,55.00
2015-03-19,55.00
2015-03-20,48.00
2015-03-21,53.00
2015-03-22,53.00
2015-03-23,48.00
2015-03-24,48.00
2015-03-25,48.00
2015-03-26,48.00
2015-03-27,47.00
2015-03-28,47.00
2015-03-29,43.00
2015-03-30,48.00
2015-03-31,48.00
2015-04-01,48.00
2015-04-02,48.00
2015-04-03,48.00
2015-04-04,48.00
2015-04-05,48.00
2015-04-06,48.00
2015-04-07,48.00
2015-04-08,48.00
2015-04-10,48.00
2015-04-12,48.00
2015-04-13,43.00
2015-04-14,43.00
2015-04-15,43.00
2015-04-16,47.00
2015-04-17,47.00
2015-04-18,45.00
2015-04-20,67.00
2015-04-21,67.00
2015-04-22,51.00
2015-04-23,65.00
2015-04-24,110.00
2015-04-25,105.00
2015-04-26,45.00
2015-04-27,45.00
2015-04-28,45.00
2015-04-29,45.00
2015-04-30,45.00
2015-05-01,45.00
2015-05-02,45.00
2015-05-03,47.00
2015-05-04,43.00
2015-05-05,55.00
2015-05-06,55.00
2015-05-07,55.00
2015-05-08,53.00
2015-05-10,53.00
2015-05-11,57.00
2015-05-12,55.00
2015-05-13,57.00
2015-05-14,55.00
2015-05-15,57.00
2015-05-16,55.00
2015-05-17,53.00
2015-05-18,53.00
2015-05-19,53.00
2015-05-20,48.00
2015-05-21,53.00
2015-05-22,53.00
2015-05-23,53.00
2015-05-24,53.00
2015-05-25,53.00
2015-05-26,53.00
2015-05-27,53.00
2015-05-28,53.00
2015-05-29,53.00
2015-05-30,53.00
2015-05-31,53.00
2015-06-01,53.00
2015-06-02,53.00
2015-06-03,52.00
2015-06-04,53.00
2015-06-05,53.00
2015-06-06,53.00
2015-06-07,53.00
2015-06-08,53.00
2015-06-09,53.00
2015-06-10,55.00
2015-06-11,63.00
2015-06-12,55.00
2015-06-13,55.00
2015-06-14,63.00
2015-06-15,63.00
2015-06-16,65.00
2015-06-17,53.00
2015-06-18,53.00
