date,avg
2013-04-15,48.00
2013-04-16,55.00
2013-04-17,53.00
2013-04-18,35.00
2013-04-21,37.00
2013-04-22,35.00
2013-04-23,38.00
2013-04-25,47.00
2013-04-26,45.00
2013-04-28,45.00
2013-04-29,45.00
2013-04-30,43.00
2013-05-03,45.00
2013-05-05,55.00
2013-05-06,55.00
2013-05-07,55.00
2013-05-08,55.00
2013-05-16,55.00
2013-05-17,55.00
2013-05-19,55.00
2013-05-20,55.00
2013-05-21,55.00
2013-05-22,55.00
2013-05-23,55.00
2013-05-24,55.00
2013-05-30,55.00
2013-05-31,55.00
2013-06-02,55.00
2013-06-03,55.00
2013-06-04,55.00
2013-06-05,55.00
2013-06-06,55.00
2013-06-09,55.00
2013-06-10,55.00
2013-06-11,55.00
2013-06-12,55.00
2013-06-13,55.00
2013-06-14,55.00
2013-06-16,55.00
2013-06-17,65.00
2013-06-18,55.00
2013-06-19,55.00
2013-06-20,55.00
2013-06-21,55.00
2013-06-25,57.00
2013-06-26,55.00
2013-06-27,55.00
2013-06-28,55.00
2013-06-30,55.00
2013-07-01,55.00
2013-07-02,57.00
2013-07-03,55.00
2013-07-04,55.00
2013-07-05,65.00
2013-07-09,65.00
2013-07-10,55.00
2013-07-11,55.00
2013-07-12,55.00
2013-07-14,55.00
2013-07-15,55.00
2013-07-16,55.00
2013-07-17,55.00
2013-07-18,55.00
2013-07-19,55.00
2013-07-21,55.00
2013-08-08,65.00
2013-08-14,65.00
2013-08-16,65.00
2013-08-18,65.00
2013-08-19,65.00
2013-08-20,65.00
2013-08-23,75.00
2013-08-25,65.00
2013-08-26,65.00
2013-08-27,65.00
2013-08-30,65.00
2013-09-01,65.00
2013-09-02,65.00
2013-09-03,65.00
2013-09-04,65.00
2013-09-05,65.00
2013-09-06,65.00
2013-09-08,65.00
2013-09-09,65.00
2013-09-10,65.00
2013-09-11,65.00
2013-09-12,65.00
2013-09-13,65.00
2013-09-15,65.00
2013-09-16,65.00
2013-09-17,65.00
2013-09-20,65.00
2013-09-22,75.00
2013-09-23,65.00
2013-09-24,75.00
2013-09-25,75.00
2013-09-26,75.00
2013-09-27,75.00
2013-09-29,75.00
2013-09-30,75.00
2013-10-01,75.00
2013-10-02,75.00
2013-10-03,75.00
2013-10-04,75.00
2013-10-06,75.00
2013-10-07,65.00
2013-10-08,75.00
2013-10-09,75.00
2013-10-10,75.00
2013-10-11,77.00
2013-10-12,75.00
2013-10-16,65.00
2013-10-17,75.00
2013-10-20,75.00
2013-10-21,65.00
2013-10-22,75.00
2013-10-23,75.00
2013-10-24,65.00
2013-10-25,75.00
2013-10-27,75.00
2013-10-28,75.00
2013-10-29,75.00
2013-10-30,75.00
2013-10-31,75.00
2013-11-01,75.00
2013-11-03,75.00
2013-11-04,65.00
2013-11-05,65.00
2013-11-07,65.00
2013-11-10,53.00
2013-11-11,48.00
2013-11-12,55.00
2013-11-13,53.00
2013-11-14,48.00
2013-11-15,48.00
2013-11-16,48.00
2013-11-17,48.00
2013-11-18,48.00
2013-11-20,48.00
2013-11-21,53.00
2013-11-22,75.00
2013-11-24,65.00
2013-11-25,65.00
2013-11-27,65.00
2013-11-28,45.00
2013-11-29,43.00
2013-12-01,45.00
2013-12-02,45.00
2013-12-03,45.00
2013-12-04,45.00
2013-12-05,45.00
2013-12-06,45.00
2013-12-08,47.00
2013-12-09,45.00
2013-12-10,45.00
2013-12-11,45.00
2013-12-12,45.00
2013-12-13,45.00
2013-12-15,45.00
2013-12-16,45.00
2013-12-18,45.00
2013-12-19,45.00
2013-12-20,45.00
2013-12-22,45.00
2013-12-23,45.00
2013-12-24,45.00
2013-12-26,45.00
2013-12-27,45.00
2013-12-29,45.00
2013-12-31,45.00
2014-01-01,45.00
2014-01-02,45.00
2014-01-03,55.00
2014-01-05,45.00
2014-01-06,45.00
2014-01-07,45.00
2014-01-08,45.00
2014-01-09,45.00
2014-01-10,45.00
2014-01-12,45.00
2014-01-13,45.00
2014-01-14,45.00
2014-01-16,45.00
2014-01-17,45.00
2014-01-19,55.00
2014-01-20,45.00
2014-01-21,55.00
2014-01-22,45.00
2014-01-23,45.00
2014-01-24,45.00
2014-01-26,48.00
2014-01-27,48.00
2014-01-28,45.00
2014-01-29,45.00
2014-02-02,55.00
2014-02-03,45.00
2014-02-04,45.00
2014-02-05,45.00
2014-02-06,45.00
2014-02-07,45.00
2014-02-09,45.00
2014-02-10,45.00
2014-02-11,45.00
2014-02-12,45.00
2014-02-13,45.00
2014-02-14,45.00
2014-02-16,45.00
2014-02-17,45.00
2014-02-18,45.00
2014-02-20,45.00
2014-02-21,45.00
2014-02-23,45.00
2014-02-24,45.00
2014-02-25,45.00
2014-02-26,45.00
2014-02-28,55.00
2014-03-03,45.00
2014-03-05,45.00
2014-03-06,45.00
2014-03-07,45.00
2014-03-09,45.00
2014-03-10,45.00
2014-03-11,45.00
2014-03-12,45.00
2014-03-13,45.00
2014-03-14,45.00
2014-03-17,45.00
2014-03-18,45.00
2014-03-19,45.00
2014-03-20,45.00
2014-03-21,45.00
2014-03-23,45.00
2014-03-24,45.00
2014-03-25,45.00
2014-03-26,45.00
2014-03-27,45.00
2014-03-28,45.00
2014-03-31,48.00
2014-04-01,53.00
2014-04-02,53.00
2014-04-03,53.00
2014-04-04,55.00
2014-04-06,55.00
2014-04-07,55.00
2014-04-09,45.00
2014-04-10,45.00
2014-04-11,45.00
2014-04-13,45.00
2014-04-15,45.00
2014-04-16,45.00
2014-04-17,45.00
2014-04-18,45.00
2014-04-20,55.00
2014-04-21,55.00
2014-04-22,75.00
2014-04-23,85.00
