date,avg
2013-04-26,38.00
2013-06-30,58.00
2013-11-03,45.00
2013-11-04,67.00
2014-10-21,43.00
2014-10-22,48.00
2014-10-23,47.00
2014-10-24,48.00
2014-10-25,28.00
2014-11-20,48.00
2020-11-12,85.00
2020-11-13,95.00
2020-11-14,85.00
2020-11-15,85.00
2020-11-16,85.00
2021-10-30,96.67
2021-10-31,95.00
2021-11-01,95.00
2021-11-02,96.67
2021-11-03,140.00
2021-11-04,165.00
2022-10-24,170.00
2022-10-25,165.00
2022-10-26,165.00
2023-11-11,175.00
2013-04-26,38.00
2013-06-30,58.00
2013-11-03,45.00
2013-11-04,67.00
2014-10-21,43.00
2014-10-22,48.00
2014-10-23,47.00
2014-10-24,48.00
2014-10-25,28.00
2014-11-20,48.00
2020-11-12,85.00
2020-11-13,95.00
2020-11-14,85.00
2020-11-15,85.00
2020-11-16,85.00
2021-10-30,96.67
2021-10-31,95.00
2021-11-01,95.00
2021-11-02,96.67
2021-11-03,140.00
2021-11-04,165.00
2022-10-24,170.00
2022-10-25,165.00
2022-10-26,165.00
2023-11-11,175.00
