date,avg
2013-04-15,43.00
2013-04-17,43.00
2013-04-18,48.00
2013-11-01,39.00
2013-11-10,46.00
2013-11-11,43.00
2013-11-12,38.00
2013-11-13,33.00
2013-11-14,36.00
2013-11-15,37.00
2013-11-16,39.00
2013-11-17,39.00
2013-11-18,33.00
2013-11-20,38.00
2013-11-21,30.00
2013-11-22,38.00
2013-11-24,38.00
2013-11-25,38.00
2013-11-26,38.00
2013-11-27,39.00
2013-11-28,45.00
2013-11-29,38.00
2013-12-01,38.00
2013-12-02,38.00
2013-12-03,43.00
2013-12-04,38.00
2013-12-05,38.00
2013-12-06,38.00
2013-12-08,38.00
2013-12-09,38.00
2013-12-10,38.00
2013-12-11,43.00
2013-12-12,38.00
2013-12-13,38.00
2013-12-15,38.00
2013-12-16,38.00
2013-12-18,43.00
2013-12-19,43.00
2013-12-20,38.00
2013-12-22,43.00
2013-12-23,43.00
2013-12-24,43.00
2013-12-26,33.00
2013-12-27,43.00
2013-12-29,43.00
2013-12-31,38.00
2014-01-01,43.00
2014-01-02,43.00
2014-01-03,43.00
2014-01-05,38.00
2014-01-06,43.00
2014-01-07,43.00
2014-01-08,38.00
2014-01-09,43.00
2014-01-10,43.00
2014-01-12,43.00
2014-01-13,43.00
2014-01-14,43.00
2014-01-16,43.00
2014-01-17,43.00
2014-01-19,43.00
2014-01-20,43.00
2014-01-21,43.00
2014-01-22,43.00
2014-01-23,43.00
2014-01-24,43.00
2014-01-26,41.00
2014-01-27,43.00
2014-01-28,43.00
2014-02-02,38.00
2014-02-03,43.00
2014-02-04,48.00
2014-02-05,43.00
2014-02-06,48.00
2014-02-07,48.00
2014-02-09,43.00
2014-02-10,48.00
2014-02-11,43.00
2014-02-12,48.00
2014-02-13,48.00
2014-02-14,48.00
2014-02-16,48.00
2014-02-17,48.00
2014-02-18,33.00
2014-02-20,48.00
2014-02-21,48.00
2014-02-23,48.00
2014-02-24,48.00
2014-02-25,48.00
2014-02-26,48.00
2014-02-28,48.00
2014-03-03,48.00
2014-03-05,48.00
2014-03-06,48.00
2014-03-07,48.00
2014-03-09,48.00
2014-03-10,48.00
2014-03-11,48.00
2014-03-12,48.00
2014-03-13,48.00
2014-03-17,48.00
2014-03-18,48.00
2014-03-24,48.00
2014-03-25,48.00
2014-03-26,48.00
2014-03-27,48.00
2014-03-28,48.00
2014-03-31,48.00
2014-04-01,51.00
2014-04-02,48.00
2014-04-03,53.00
2014-04-04,55.00
2014-04-06,55.00
2014-04-07,58.00
2014-04-09,53.00
2014-04-10,53.00
2014-04-11,48.00
2014-04-13,48.00
2014-04-15,48.00
2014-09-28,77.00
2014-10-14,48.00
2014-10-16,48.00
2014-10-17,48.00
2014-10-21,73.00
2014-10-22,78.00
2014-10-23,78.00
2014-10-29,38.00
2014-10-30,37.00
2014-10-31,33.00
2014-11-01,32.00
2014-11-02,33.00
2014-11-03,29.00
2014-11-04,28.00
2014-11-05,28.00
2014-11-06,28.00
2014-11-07,28.00
2014-11-08,28.00
2014-11-09,33.00
2014-11-10,28.00
2014-11-11,43.00
2014-11-12,38.00
2014-11-13,38.00
2014-11-14,39.00
2014-11-15,43.00
2014-11-16,43.00
2014-11-17,38.00
