date,avg
2013-09-23,95.00
2013-09-24,95.00
2013-09-25,95.00
2013-09-27,95.00
2013-09-29,95.00
2013-09-30,85.00
2013-10-01,85.00
2013-10-02,78.00
2013-10-03,73.00
2013-10-04,75.00
2013-10-06,65.00
2013-10-07,78.00
2013-10-08,68.00
2013-10-09,65.00
2013-10-10,65.00
2013-10-11,47.00
2013-10-12,43.00
2013-10-17,43.00
2013-10-20,158.00
2013-10-21,38.00
2013-10-22,43.00
2013-10-23,48.00
2013-10-24,48.00
2013-10-25,53.00
2013-10-27,53.00
2013-10-28,85.00
2013-10-29,85.00
2013-10-30,95.00
2013-10-31,95.00
2013-11-01,78.00
2013-11-04,77.00
2013-11-16,95.00
2013-11-21,98.00
2013-11-22,95.00
2013-11-24,58.00
2013-11-25,75.00
2013-11-26,95.00
2013-11-27,85.00
2013-11-28,85.00
2013-11-29,78.00
2013-12-01,75.00
2013-12-02,65.00
2013-12-03,58.00
2013-12-04,58.00
2013-12-05,58.00
2013-12-06,78.00
2013-12-08,78.00
2013-12-09,65.00
2013-12-10,58.00
2013-12-11,58.00
2013-12-12,57.00
2013-12-13,55.00
2013-12-15,48.00
2013-12-16,47.00
2013-12-18,42.00
2013-12-19,39.00
2013-12-20,39.00
2013-12-22,38.00
2013-12-23,33.00
2013-12-24,33.00
2013-12-26,33.00
2013-12-27,32.00
2013-12-29,43.00
2013-12-31,28.00
2014-01-01,28.00
2014-01-02,25.00
2014-01-03,28.00
2014-01-05,33.00
2014-01-06,26.00
2014-01-07,27.00
2014-01-08,27.00
2014-01-09,26.00
2014-01-10,28.00
2014-01-12,26.00
2014-01-13,27.00
2014-01-14,26.00
2014-01-16,53.00
2014-01-17,28.00
2014-01-19,26.00
2014-01-20,24.00
2014-01-21,26.00
2014-01-22,27.00
2014-01-23,24.00
2014-01-24,24.00
2014-01-26,27.00
2014-01-27,25.00
2014-01-28,26.00
2014-01-29,24.00
2014-02-02,24.00
2014-02-03,26.00
2014-02-04,22.00
2014-02-05,29.00
2014-02-06,28.00
2014-02-07,28.00
2014-02-09,32.00
2014-02-10,33.00
2014-02-11,27.00
2014-02-12,41.00
2014-02-13,39.00
2014-02-14,40.00
2014-02-16,41.00
2014-02-17,53.00
2014-02-18,42.00
2014-02-20,53.00
2014-02-21,48.00
2014-02-23,53.00
2014-02-24,58.00
2014-02-25,58.00
2014-02-26,58.00
2014-02-28,60.00
2014-03-03,61.00
2014-03-05,53.00
2014-03-06,87.00
2014-03-07,76.00
2014-03-09,78.00
2014-03-10,77.00
2014-03-11,75.00
2014-03-12,65.00
2014-03-13,75.00
2014-03-14,70.00
2014-03-17,67.00
2014-03-18,55.00
2014-03-19,58.00
2014-03-20,55.00
2014-03-21,46.00
2014-03-23,48.00
2014-03-24,42.00
2014-03-25,43.00
2014-03-26,38.00
2014-03-27,38.00
2014-03-28,42.00
2014-03-31,28.00
2014-04-01,33.00
2014-04-02,32.00
2014-04-03,37.00
2014-04-04,36.00
2014-04-06,33.00
2014-04-07,26.00
2014-04-09,29.00
2014-04-10,38.00
2014-04-11,30.00
2014-04-13,43.00
2014-04-15,43.00
2014-04-16,53.00
2014-04-17,58.00
2014-04-18,58.00
2014-04-20,67.00
2014-04-21,63.00
2014-04-22,58.00
2014-04-23,58.00
2014-06-15,135.00
2014-06-18,125.00
2014-06-19,135.00
2014-06-20,125.00
2014-06-23,115.00
2014-06-24,125.00
2014-06-25,115.00
2014-06-26,125.00
2014-06-27,125.00
2014-06-30,125.00
2014-07-05,105.00
2014-07-06,105.00
2014-07-07,105.00
2014-07-08,125.00
2014-07-09,115.00
2014-07-10,115.00
2014-07-11,123.00
2014-07-12,125.00
2014-07-13,125.00
2014-07-14,125.00
2014-07-15,125.00
2014-07-16,125.00
2014-07-17,125.00
2014-07-18,125.00
2014-07-19,125.00
2014-07-20,125.00
2014-07-21,125.00
2014-07-22,115.00
2014-07-23,115.00
2014-07-24,115.00
2014-07-25,115.00
2014-07-26,115.00
2014-07-27,115.00
2014-07-28,107.00
2014-07-29,105.00
2014-07-30,105.00
2014-07-31,105.00
2014-08-01,105.00
2014-08-02,105.00
2014-08-03,105.00
2014-08-04,105.00
2014-08-05,105.00
2014-08-06,105.00
2014-08-07,105.00
2014-08-08,105.00
2014-08-09,105.00
2014-08-10,105.00
2014-08-11,105.00
2014-08-12,105.00
2014-08-13,105.00
2014-08-14,105.00
2014-08-16,105.00
