date,avg
2013-04-15,73.00
2013-04-16,71.00
2013-04-17,71.00
2013-04-18,73.00
2013-04-21,73.00
2013-04-22,73.00
2013-04-23,73.00
2013-04-25,73.00
2013-04-26,73.00
2013-04-28,73.00
2013-04-29,73.00
2013-04-30,73.00
2013-05-02,73.00
2013-05-03,73.00
2013-05-05,73.00
2013-05-06,73.00
2013-05-07,73.00
2013-05-08,73.00
2013-05-09,73.00
2013-05-10,73.00
2013-05-12,73.00
2013-05-13,73.00
2013-05-14,73.00
2013-05-15,68.00
2013-05-16,68.00
2013-05-17,68.00
2013-05-19,68.00
2013-05-20,68.00
2013-05-21,68.00
2013-05-22,68.00
2013-05-23,68.00
2013-05-24,68.00
2013-05-26,68.00
2013-05-27,68.00
2013-05-28,68.00
2013-05-30,68.00
2013-05-31,68.00
2013-06-02,68.00
2013-06-03,68.00
2013-06-04,68.00
2013-06-05,68.00
2013-06-06,68.00
2013-06-09,68.00
2013-06-10,68.00
2013-06-11,68.00
2013-06-12,68.00
2013-06-13,68.00
2013-06-14,65.00
2013-06-16,68.00
2013-06-17,68.00
2013-06-18,68.00
2013-06-19,68.00
2013-06-20,68.00
2013-06-21,68.00
2013-06-25,68.00
2013-06-26,68.00
2013-06-27,68.00
2013-06-28,68.00
2013-06-30,68.00
2013-07-01,68.00
2013-07-02,75.00
2013-07-03,75.00
2013-07-04,75.00
2013-07-05,75.00
2013-07-09,75.00
2013-07-10,75.00
2013-07-11,75.00
2013-07-12,75.00
2013-07-14,75.00
2013-07-15,65.00
2013-07-16,75.00
2013-07-17,75.00
2013-07-18,75.00
2013-07-19,75.00
2013-07-21,75.00
2013-07-22,75.00
2013-07-23,75.00
2013-07-24,75.00
2013-07-25,75.00
2013-07-26,75.00
2013-07-28,75.00
2013-07-29,75.00
2013-07-30,75.00
2013-07-31,75.00
2013-08-01,77.00
2013-08-02,75.00
2013-08-04,75.00
2013-08-05,75.00
2013-08-06,75.00
2013-08-07,75.00
2013-08-08,75.00
2013-08-13,75.00
2013-08-14,75.00
