date,avg
2019-08-08,55.00
2019-08-09,62.00
2019-08-10,52.00
2019-08-15,72.00
2019-08-16,72.00
2019-08-18,88.00
2019-08-19,82.00
2019-08-20,92.00
2019-08-21,85.00
2019-08-22,68.00
2019-08-23,68.00
2019-08-24,64.00
2019-08-25,65.00
2019-08-26,65.00
2019-08-27,55.00
2019-08-28,48.00
2019-08-29,52.00
2019-08-30,49.00
2019-08-31,42.00
2019-09-01,42.00
2019-09-02,42.00
2019-09-03,33.00
2019-09-04,33.00
2019-09-05,33.00
2019-09-06,30.00
2019-09-07,33.00
2019-09-10,42.00
2019-09-11,42.00
2019-09-12,38.00
2019-09-13,38.00
2019-09-14,33.00
2019-09-15,37.00
2019-09-16,33.00
2019-09-17,33.00
2019-09-18,35.00
2019-09-19,38.00
2019-09-20,38.00
2019-09-21,38.00
2019-09-22,45.00
2019-09-24,52.00
2019-09-25,48.00
2019-09-26,45.00
2019-09-27,38.00
2019-09-28,40.00
2019-09-29,38.00
2019-09-30,38.00
2019-10-01,38.00
2019-10-03,42.00
2019-10-04,48.00
2019-10-05,48.00
2019-10-06,58.00
2019-10-07,48.00
2019-10-23,48.00
2019-11-10,55.00
2019-11-11,40.00
2019-11-12,38.00
2019-11-13,38.00
2019-11-14,33.00
2019-11-17,33.00
2019-11-18,33.00
2019-11-19,33.00
2019-11-20,33.00
2019-12-05,40.00
2019-12-06,45.00
2019-12-07,48.00
2019-12-08,42.00
2019-12-09,45.00
2019-12-10,45.00
2019-12-11,35.00
2019-12-12,38.00
2019-12-13,40.00
2019-12-14,45.00
2019-12-15,52.00
2019-12-16,45.00
2019-12-17,42.00
2019-12-18,42.00
2019-12-19,28.00
2019-12-20,28.00
2019-12-21,28.00
2019-12-22,45.00
2019-12-23,38.00
2019-12-24,35.00
2019-12-25,33.00
2019-12-26,35.00
2019-12-27,25.00
2019-12-28,33.00
2019-12-29,33.00
2019-12-30,35.00
2019-12-31,45.00
2020-01-01,42.00
2020-01-02,45.00
2020-01-03,48.00
2020-01-04,50.00
2020-01-05,48.00
2020-01-06,55.00
2020-01-07,45.00
2020-01-08,40.00
2020-01-09,28.00
2020-01-10,35.00
2020-01-11,33.00
2020-01-12,38.00
2020-01-13,48.00
2020-01-14,42.00
2020-01-15,38.00
2020-01-16,35.00
2020-01-17,35.00
2020-01-18,38.00
2020-01-19,38.00
2020-01-20,38.00
2020-01-21,30.00
2020-01-22,28.00
2020-01-23,28.00
2020-01-24,33.00
2020-01-25,33.00
2020-01-26,28.00
2020-01-27,33.00
2020-01-28,35.00
2020-01-29,30.00
2020-01-30,30.00
2020-01-31,35.00
2020-02-01,30.00
2020-02-02,33.00
2020-02-03,33.00
2020-02-04,33.00
2020-02-05,28.00
2020-02-06,28.00
2020-02-07,30.00
2020-02-08,28.00
2020-02-09,28.00
2020-02-10,28.00
2020-02-11,22.00
2020-02-12,25.00
2020-02-13,28.00
2020-02-14,28.00
2020-02-15,30.00
2020-02-16,28.00
2020-02-17,33.00
2020-02-18,28.00
2020-02-19,28.00
2020-02-20,30.00
2020-02-21,28.00
2020-02-22,28.00
2020-02-23,22.00
2020-02-24,28.00
2020-02-25,22.00
2020-02-26,28.00
2020-02-27,30.00
2020-02-28,28.00
2020-02-29,28.00
2020-03-01,45.00
2020-03-02,38.00
2020-03-04,35.00
2020-03-05,38.00
2020-03-06,38.00
2020-03-07,48.00
2020-03-08,42.00
2020-03-09,45.00
2020-03-10,38.00
2020-03-11,33.00
2020-03-12,38.00
2020-03-13,38.00
2020-03-14,38.00
2020-03-15,42.00
2020-03-16,42.00
2020-03-17,38.00
2020-03-18,42.00
2020-03-19,38.00
2020-03-20,38.00
2020-03-21,38.00
2020-03-22,62.00
2020-03-23,62.00
2020-03-25,55.00
2020-03-26,78.00
2020-03-27,75.00
2020-03-28,78.00
2020-03-29,84.00
2020-03-30,88.00
2020-03-31,78.00
2020-04-01,65.00
2020-04-02,48.00
2020-04-03,45.00
2020-04-04,45.00
2020-04-05,38.00
2020-04-06,45.00
2020-04-07,55.00
2020-04-08,58.00
2020-04-13,58.00
2020-04-14,48.00
2020-04-15,48.00
2020-04-16,45.00
2020-04-17,33.00
2020-04-20,37.00
2020-04-21,33.00
2020-04-23,22.00
2020-04-24,28.00
2020-04-25,28.00
2020-04-26,28.00
2020-04-27,28.00
2020-04-28,28.00
2020-04-29,28.00
2020-04-30,28.00
2020-05-01,28.00
2020-05-02,28.00
2020-05-03,28.00
2020-05-04,28.00
2020-05-05,28.00
2020-05-06,38.00
2020-05-07,28.00
2020-05-08,28.00
2020-05-09,28.00
2020-05-10,38.00
2020-05-11,38.00
2020-05-12,38.00
2020-05-13,38.00
2020-05-14,38.00
2020-05-15,38.00
2020-05-17,48.00
2020-08-06,52.00
2020-10-01,62.00
2020-12-15,43.00
2020-12-16,38.00
2020-12-22,52.50
2020-12-23,50.00
2020-12-24,51.25
2020-12-25,55.00
2020-12-26,52.00
2020-12-27,55.00
2020-12-28,60.00
2020-12-29,56.00
2020-12-30,58.00
2020-12-31,48.33
2021-01-01,42.50
2021-01-02,45.00
2021-01-03,45.00
2021-01-04,46.00
2021-01-05,43.00
2021-01-06,45.00
2021-01-07,38.00
2021-01-08,32.50
2021-01-09,26.00
2021-01-10,17.67
2021-01-11,22.33
2021-01-12,25.00
2021-01-13,25.00
2021-01-14,18.00
2021-01-15,17.50
2021-01-16,23.00
2021-01-17,22.33
2021-01-18,22.50
2021-01-19,17.50
2021-01-20,17.50
2021-01-21,17.50
2021-01-22,17.50
