date,avg
2015-01-01,35.00
2015-01-02,38.00
2015-01-03,42.00
2015-01-04,34.00
2015-01-05,36.00
2015-01-06,33.00
2015-01-07,28.00
2015-01-08,27.00
2015-01-09,19.00
2015-01-11,22.00
2015-01-12,20.00
2015-01-13,23.00
2015-01-14,23.00
2015-01-15,28.00
2015-01-16,30.00
2015-01-17,28.00
2015-01-18,28.00
2015-01-19,28.00
2015-01-20,27.00
2015-01-21,27.00
2015-01-22,28.00
2015-01-23,28.00
2015-01-25,23.00
2015-01-26,25.00
2015-01-27,21.00
2015-01-28,19.00
2015-01-29,17.00
2015-01-31,18.00
2015-02-01,16.00
2015-02-02,18.00
2015-02-03,20.00
2015-02-04,16.00
2015-02-05,16.00
2015-02-06,16.00
2015-02-07,18.00
2015-02-08,19.00
2015-02-09,18.00
2015-02-10,18.00
2015-02-11,18.00
2015-02-12,16.00
2015-02-13,18.00
2015-02-14,17.00
2015-02-15,17.00
2015-02-16,17.00
2015-02-18,15.00
2015-02-19,15.00
2015-02-20,14.00
2015-02-22,15.00
2015-02-23,16.00
2015-02-24,14.00
2015-02-25,16.00
2015-02-26,14.00
2015-02-27,15.00
2015-03-01,19.00
2015-03-02,19.00
2015-03-03,20.00
2015-03-06,21.00
2015-03-09,18.00
2015-03-10,18.00
2015-03-11,39.00
2015-03-12,33.00
2015-03-13,33.00
2015-03-14,33.00
2015-03-15,33.00
2015-03-16,42.00
2015-03-17,43.00
2015-03-18,43.00
2015-03-19,57.00
2015-03-20,54.00
2015-03-21,54.00
2015-03-22,55.00
2015-03-23,53.00
2015-03-24,53.00
2015-03-25,47.00
2015-03-26,46.00
2015-03-27,56.00
2015-03-28,52.00
2015-03-29,51.00
2015-03-30,53.00
2015-03-31,38.00
2015-04-01,29.00
2015-04-02,35.00
2015-04-03,32.00
2015-04-04,32.00
2015-04-05,32.00
2015-04-06,30.00
2015-04-07,28.00
2015-04-08,32.00
2015-04-10,42.00
2015-04-12,38.00
2015-04-13,34.00
2015-04-14,37.00
2015-04-15,33.00
2015-04-16,33.00
2015-04-17,32.00
2015-04-18,33.00
2015-04-19,33.00
2015-04-20,23.00
2015-04-21,33.00
2015-04-22,28.00
2015-04-23,33.00
2015-04-24,53.00
2015-04-25,55.00
2015-04-26,38.00
2015-04-27,35.00
2015-04-28,53.00
2015-04-29,58.00
2015-04-30,33.00
2015-05-01,32.00
2015-05-02,28.00
2015-05-03,14.00
2015-05-04,33.00
2015-05-05,48.00
2015-05-06,63.00
2015-05-07,58.00
2015-05-08,53.00
2015-05-10,53.00
2015-05-11,51.00
2015-05-12,43.00
2015-05-13,38.00
2015-05-14,37.00
2015-05-15,34.00
2015-05-16,34.00
2015-05-17,33.00
2015-05-18,33.00
2015-05-19,33.00
2015-05-20,38.00
2015-05-21,37.00
2015-05-22,63.00
2015-05-23,70.00
2015-05-24,73.00
2015-05-25,73.00
2015-05-26,73.00
2015-05-27,72.00
2015-05-28,73.00
2015-05-29,73.00
2015-05-30,74.00
2015-05-31,63.00
2015-06-01,53.00
2015-06-02,53.00
2015-06-03,58.00
2015-06-04,57.00
2015-06-05,58.00
2015-06-06,65.00
2015-06-07,43.00
2015-06-08,48.00
2015-06-09,48.00
2015-06-10,42.00
2015-06-11,53.00
2015-06-12,48.00
2015-06-13,50.00
2015-06-14,52.00
2015-06-15,40.00
2015-06-16,33.00
2015-06-17,39.00
2015-06-18,38.00
2015-06-19,38.00
2015-06-20,35.00
2015-06-21,38.00
2015-06-22,33.00
2015-06-23,36.00
2015-06-24,43.00
2015-06-25,39.00
2015-06-26,38.00
2015-06-27,39.00
2015-06-28,43.00
2015-06-29,45.00
2015-06-30,45.00
2015-07-01,45.00
2015-07-02,45.00
2015-07-03,38.00
2015-07-04,37.00
2015-07-05,45.00
2015-07-06,45.00
2015-07-07,55.00
2015-07-08,55.00
2015-07-09,55.00
2015-07-10,55.00
2015-07-11,55.00
2015-07-12,66.00
2015-07-13,65.00
2015-07-14,65.00
2015-07-15,55.00
2015-07-16,55.00
2015-07-17,55.00
2015-07-18,55.00
2015-07-19,55.00
2015-07-20,55.00
2015-07-21,65.00
2015-07-22,55.00
2015-07-23,55.00
2015-07-24,55.00
2015-07-25,47.00
2015-07-26,45.00
2015-07-27,45.00
2015-07-28,45.00
2015-07-29,50.00
2015-07-30,51.00
2015-07-31,50.00
2015-08-01,50.00
2015-08-02,55.00
2015-08-03,55.00
2015-08-04,55.00
2015-08-05,55.00
2015-08-06,65.00
2015-08-07,64.00
2015-08-08,74.00
2015-08-09,75.00
2015-08-10,73.00
