date,avg
2019-12-06,48.00
2019-12-07,55.00
2019-12-08,42.00
2019-12-09,48.00
2019-12-10,48.00
2019-12-11,40.00
2019-12-12,45.00
2019-12-13,45.00
2019-12-14,50.00
2019-12-15,55.00
2019-12-16,48.00
2019-12-17,45.00
2019-12-18,42.00
2019-12-19,30.00
2019-12-20,33.00
2019-12-21,33.00
2019-12-22,45.00
2019-12-23,42.00
2019-12-24,35.00
2019-12-25,33.00
2019-12-26,38.00
2019-12-27,33.00
2019-12-28,38.00
2019-12-29,38.00
2019-12-30,35.00
2019-12-31,48.00
2020-01-01,42.00
2020-01-02,50.00
2020-01-03,55.00
2020-01-04,55.00
2020-01-05,48.00
2020-01-06,55.00
2020-01-07,45.00
2020-01-08,42.00
2020-01-09,35.00
2020-01-10,38.00
2020-01-11,38.00
2020-01-12,38.00
2020-01-13,48.00
2020-01-14,48.00
2020-01-15,38.00
2020-01-16,38.00
2020-01-17,35.00
2020-01-18,38.00
2020-01-19,38.00
2020-01-20,38.00
2020-01-21,30.00
2020-01-22,33.00
2020-01-23,28.00
2020-01-24,25.00
2020-01-25,22.00
2020-01-26,28.00
2020-01-27,33.00
2020-01-28,25.00
2020-01-29,30.00
2020-01-30,30.00
2020-01-31,28.00
2020-02-01,25.00
2020-02-02,28.00
2020-02-03,28.00
2020-02-04,28.00
2020-02-05,28.00
2020-02-06,28.00
2020-02-07,22.00
2020-02-08,22.00
2020-02-09,22.00
2020-02-10,18.00
2020-02-11,18.00
2020-02-12,18.00
2020-02-13,22.00
2020-02-14,22.00
2020-02-15,22.00
2020-02-16,22.00
2020-02-17,28.00
2020-02-18,22.00
2020-02-19,22.00
2020-02-20,22.00
2020-02-21,22.00
2020-02-22,22.00
2020-02-23,18.00
2020-02-24,22.00
2020-02-25,18.00
2020-02-26,18.00
2020-02-27,22.00
2020-02-28,20.00
2020-02-29,22.00
2020-03-01,35.00
2020-03-02,29.00
2020-03-04,33.00
2020-03-05,38.00
2020-03-06,33.00
2020-03-07,42.00
2020-03-08,38.00
2020-03-09,33.00
2020-03-10,33.00
2020-03-11,28.00
2020-03-12,28.00
2020-03-13,33.00
2020-03-14,38.00
2020-03-15,42.00
2020-03-16,38.00
2020-03-17,38.00
2020-03-18,38.00
2020-03-19,38.00
2020-03-20,38.00
2020-03-21,38.00
2020-03-22,62.00
2020-03-23,62.00
2020-03-25,55.00
2020-03-26,78.00
2020-03-27,68.00
2020-03-28,68.00
2020-03-29,78.00
2020-03-30,83.00
2020-03-31,48.00
2020-04-01,48.00
2020-04-13,42.00
2020-04-14,38.00
2020-04-15,33.00
2020-04-16,33.00
2020-04-17,28.00
2020-04-20,28.00
2020-04-21,28.00
2020-04-22,22.00
2020-04-23,18.00
2020-04-24,22.00
2020-04-25,22.00
2020-04-26,22.00
2020-04-27,22.00
2020-04-28,22.00
2020-04-29,22.00
2020-04-30,22.00
2020-05-01,22.00
2020-05-02,22.00
2020-05-05,28.00
2020-05-06,33.00
2020-05-07,28.00
2020-05-08,28.00
2020-05-09,28.00
2020-12-13,52.00
2020-12-14,40.00
2020-12-15,40.00
2020-12-16,38.00
2020-12-19,45.00
2020-12-20,45.00
2020-12-21,40.00
2020-12-22,54.00
2020-12-23,50.00
2020-12-24,50.00
2020-12-25,54.00
2020-12-26,51.00
2020-12-27,55.00
2020-12-28,57.50
2020-12-29,55.00
2020-12-30,58.33
2020-12-31,48.33
2021-01-01,42.50
2021-01-02,45.00
2021-01-03,45.00
2021-01-04,45.00
2021-01-05,43.00
2021-01-06,45.00
2021-01-07,38.00
2021-01-08,32.50
2021-01-09,25.00
2021-01-10,17.67
2021-01-11,22.33
2021-01-12,25.00
2021-01-13,25.00
2021-01-14,23.00
2021-01-15,27.50
2021-01-16,28.00
2021-01-17,22.33
2021-01-18,24.67
2021-01-19,18.00
2021-01-20,20.00
2021-01-21,19.40
2021-01-22,22.50
2021-01-23,22.40
2021-01-24,22.33
2021-01-25,17.50
2021-01-26,25.20
2021-01-27,27.50
2021-01-28,27.00
2021-01-29,20.20
2021-01-30,27.60
2021-02-01,27.50
2021-02-02,24.00
2021-02-03,27.50
2021-02-04,27.50
2021-02-05,27.50
2021-02-06,27.50
2021-02-07,22.33
2021-02-08,29.00
2021-02-09,25.00
2021-02-10,28.33
2021-02-11,25.00
2021-02-12,28.33
2021-02-13,22.50
2021-02-14,17.67
2021-02-15,23.00
2021-02-16,17.50
2021-02-17,17.50
2021-02-18,20.00
2021-02-19,17.67
2021-02-20,17.50
2021-02-21,15.00
2021-02-22,17.50
2021-02-23,26.00
2021-02-24,22.40
2021-02-25,17.60
2021-02-26,22.50
2021-02-27,22.50
2021-02-28,22.33
2021-03-01,14.20
2021-03-02,17.50
2021-03-03,17.50
2021-03-05,17.50
2021-03-06,17.50
2021-03-07,17.67
2021-03-08,18.25
2021-03-09,17.50
2021-03-10,22.50
2021-03-11,27.50
2021-03-12,27.50
2021-03-13,27.50
2021-03-14,22.33
2021-03-15,27.67
2021-03-16,32.67
2021-03-17,27.50
2021-03-18,22.33
2021-03-19,32.50
2021-03-20,27.50
2021-03-21,32.67
2021-03-22,45.00
2021-03-23,48.33
2021-03-24,45.00
2021-03-25,35.00
2021-03-26,47.50
2021-03-27,45.00
2021-03-28,45.00
2021-03-29,47.67
2021-03-30,47.67
2021-03-31,47.50
2021-04-01,55.00
2021-04-02,47.50
2021-04-03,45.00
2021-04-04,47.67
2021-04-05,45.00
2021-04-06,45.00
2021-04-07,45.00
2021-04-08,45.00
2021-04-09,42.50
2021-04-10,45.00
2021-04-11,37.50
2021-04-12,35.00
2021-04-13,26.00
2021-04-14,30.00
2021-04-15,20.00
2021-04-16,25.00
2021-04-17,14.00
2021-04-18,17.67
2021-04-19,17.50
2021-04-20,17.50
2021-04-21,19.33
2021-04-22,19.00
2021-04-23,20.00
2021-04-24,19.00
2021-04-25,22.33
2021-04-26,20.00
2021-04-27,20.00
2021-04-28,22.50
2021-04-29,27.50
2021-04-30,22.50
2021-05-01,22.50
2021-05-02,22.33
2021-05-03,17.50
2021-05-04,12.50
2021-05-05,12.33
2021-05-07,17.67
2021-05-08,17.50
2021-05-09,17.50
2021-05-10,17.50
2021-05-11,21.50
2021-05-12,32.67
2021-05-13,37.67
2021-05-14,27.67
2021-05-15,23.33
2021-05-16,26.67
2021-05-17,40.00
2021-05-18,35.00
2021-05-19,27.67
2021-05-21,30.00
2021-05-23,25.00
2021-05-24,20.00
2021-05-25,27.50
2021-12-16,65.00
2021-12-17,65.00
2021-12-18,54.00
2021-12-19,65.00
2021-12-20,66.67
2021-12-21,65.00
2021-12-22,65.00
2021-12-23,63.33
2021-12-24,60.00
2021-12-25,56.67
2021-12-26,65.00
2021-12-27,66.67
2021-12-28,60.00
2021-12-29,65.00
2021-12-30,60.00
2021-12-31,64.00
2022-01-01,65.00
2022-01-02,65.00
2022-01-03,56.00
2022-01-04,50.00
2022-01-05,40.00
2022-01-06,45.00
2022-01-07,39.00
2022-01-08,39.00
2022-01-09,35.00
2022-01-10,32.50
2022-01-11,32.50
2022-01-12,27.50
2022-01-13,28.00
2022-01-14,25.00
2022-01-15,25.00
2022-01-16,28.00
2022-01-17,25.00
2022-01-18,30.00
2022-01-19,25.00
2022-01-20,27.50
2022-01-21,22.50
2022-01-22,25.00
2022-01-23,25.00
2022-01-24,28.80
2022-01-25,30.00
2022-01-26,36.00
2022-01-27,35.00
2022-01-28,35.00
2022-01-29,35.00
2022-01-30,35.00
2022-01-31,31.00
2022-02-01,27.50
2022-02-02,34.00
2022-02-03,32.50
2022-02-04,34.40
2022-02-05,31.20
2022-02-06,40.00
2022-02-07,45.00
2022-02-08,55.00
2022-02-09,49.00
2022-02-10,45.00
2022-02-11,45.00
2022-02-12,45.00
2022-02-13,45.00
2022-02-14,35.00
2022-02-15,35.00
2022-02-16,35.00
2022-02-17,35.00
2022-02-18,35.00
2022-02-19,35.00
2022-02-20,35.00
2022-02-21,30.00
2022-02-22,30.00
2022-02-23,30.00
2022-02-24,30.00
2022-02-25,30.00
2022-02-27,30.00
2022-02-28,28.80
2022-03-01,27.50
2022-03-02,27.50
2022-03-03,27.50
2022-03-05,30.00
2022-03-06,30.00
2022-03-07,30.00
2022-03-08,37.50
2022-03-09,41.00
2022-03-10,42.00
2022-03-11,40.00
2022-03-12,42.50
2022-03-13,30.00
2022-03-14,50.00
2022-03-15,59.00
2022-03-16,60.00
2022-03-17,56.67
2022-03-18,55.00
2022-03-19,55.00
2022-03-20,45.00
2022-03-21,75.00
2022-03-22,75.00
2022-03-23,75.00
2022-03-24,60.00
2022-03-25,75.00
2022-03-26,65.00
2022-03-27,35.00
2022-03-28,75.00
2022-03-29,85.00
2022-03-30,85.00
2022-03-31,66.67
2022-04-01,76.67
2022-04-02,66.67
2022-04-03,45.00
2022-04-04,60.00
2022-04-05,66.67
2022-04-06,76.67
2022-04-07,75.00
2022-04-08,65.00
2022-04-09,65.00
2022-04-10,65.00
2022-04-11,65.00
2022-04-12,65.00
2022-04-13,55.00
2022-04-14,55.00
2022-04-15,55.00
2022-04-16,55.00
2022-04-17,35.00
2022-04-18,46.67
2022-04-19,50.00
2022-04-20,50.00
2022-04-21,46.67
2022-04-22,35.00
2022-04-23,36.67
2022-04-24,27.67
2022-04-25,33.33
2022-04-26,35.00
2022-04-27,45.00
2022-04-28,50.00
2022-04-29,55.00
2022-04-30,56.67
2022-05-01,56.67
2022-05-02,56.67
2022-05-03,55.00
2022-05-04,45.00
2022-05-05,55.00
2022-05-06,55.00
2022-05-07,55.00
2022-05-09,46.67
2022-05-10,55.00
2022-05-11,50.00
2022-05-12,65.00
2022-05-15,85.00
2022-05-16,65.00
2022-05-18,116.67
2022-05-21,65.00
2022-05-23,76.67
2022-05-24,76.67
2022-05-25,65.00
2022-05-28,66.67
2022-06-01,75.00
2022-06-07,50.00
2022-06-08,45.00
2022-12-01,42.50
2022-12-02,40.00
2022-12-03,45.00
2022-12-05,32.50
2022-12-06,38.33
2022-12-07,40.00
2022-12-09,37.50
2022-12-10,38.33
2022-12-11,33.33
2022-12-12,27.50
2022-12-13,32.50
2022-12-14,29.00
2022-12-15,33.33
2022-12-16,32.50
2022-12-17,28.40
2022-12-18,30.00
2022-12-20,25.00
2022-12-21,21.60
2022-12-22,21.60
2022-12-23,20.20
2022-12-24,21.25
2022-12-26,28.33
2022-12-27,25.20
2022-12-28,24.40
2022-12-29,26.00
2022-12-30,27.67
2022-12-31,27.67
2023-01-01,37.67
2023-01-02,27.50
2023-01-03,38.00
2023-01-04,40.00
2023-01-05,35.00
2023-01-06,34.00
2023-01-07,34.00
2023-01-08,35.00
2023-01-09,35.00
2023-01-10,35.80
2023-01-11,30.00
2023-01-12,27.50
2023-01-13,27.50
2023-01-14,27.50
2023-01-15,27.50
2023-01-16,27.50
2023-01-17,35.00
2023-01-18,38.00
2023-01-19,40.00
2023-01-20,37.50
2023-01-21,32.50
2023-01-22,32.50
2023-01-23,25.00
2023-01-24,25.00
2023-01-25,34.00
2023-01-26,35.00
2023-01-27,22.50
2023-01-28,22.50
2023-01-29,22.33
2023-01-30,17.50
2023-01-31,17.50
2023-02-01,17.50
2023-02-02,22.50
2023-02-03,17.50
2023-02-04,21.00
2023-02-05,25.00
2023-02-06,17.50
2023-02-07,22.00
2023-02-08,22.50
2023-02-09,27.50
2023-02-10,27.50
2023-02-11,27.50
2023-02-12,27.67
2023-02-13,30.60
2023-02-14,25.00
2023-02-15,19.80
2023-02-16,22.50
2023-02-17,26.20
2023-02-18,30.00
2023-02-19,27.67
2023-02-20,30.00
2023-02-21,35.00
2023-02-22,35.00
2023-02-23,28.33
2023-02-24,27.50
2023-02-25,22.50
2023-02-26,22.33
2023-02-27,30.00
2023-02-28,28.33
2023-03-01,27.67
2023-03-02,27.67
2023-03-03,27.50
2023-03-05,27.67
2023-03-06,30.00
2023-03-07,30.00
2023-03-08,30.00
2023-03-09,55.00
2023-03-10,45.00
2023-03-11,38.33
2023-03-12,45.00
2023-03-13,52.50
2023-03-14,38.33
2023-03-15,55.00
2023-03-16,58.40
2023-03-17,57.50
2023-03-18,52.50
2023-03-19,45.00
2023-03-20,58.33
2023-03-21,50.00
2023-03-22,55.00
2023-03-23,45.00
2023-03-24,45.00
2023-03-25,45.00
2023-03-26,45.00
2023-03-27,45.00
2023-03-28,35.00
2023-03-29,45.00
2023-03-30,45.00
2023-03-31,45.00
2023-04-01,55.00
