date,avg
2019-05-31,83.00
2019-06-01,83.00
2019-06-02,81.00
2019-06-03,75.00
2019-06-04,78.00
2019-06-05,68.00
2019-06-06,51.00
2019-06-07,55.00
2019-06-08,62.00
2019-06-09,52.00
2019-06-10,55.00
2019-06-11,55.00
2019-06-12,57.00
2019-06-13,62.00
2019-06-14,55.00
2019-06-15,46.00
2019-06-16,45.00
2019-06-17,45.00
2019-06-18,39.00
2019-06-19,39.00
2019-06-20,35.00
2019-06-21,29.00
2019-06-22,35.00
2019-06-23,28.00
2019-06-24,37.00
2019-06-25,38.00
2019-06-26,26.00
2019-06-27,28.00
2019-06-28,27.00
2019-06-29,33.00
2019-06-30,32.00
2019-07-01,35.00
2019-07-02,41.00
2019-07-03,40.00
2019-07-04,40.00
2019-07-05,40.00
2019-07-06,41.00
2019-07-07,47.00
2019-07-08,44.00
2019-07-09,44.00
2019-07-10,48.00
2019-07-11,59.00
2019-07-12,60.00
2019-07-13,74.00
2019-07-14,74.00
2019-07-15,79.00
2019-07-16,80.00
2019-07-17,85.00
2019-07-18,84.00
2019-07-19,79.00
2019-07-20,75.00
2019-07-21,78.00
2019-07-22,67.00
2019-07-23,67.00
2019-07-24,55.00
2019-07-25,50.00
2019-07-26,48.00
2019-07-27,44.00
2019-07-28,46.00
2019-07-29,52.00
2019-07-30,60.00
2019-07-31,61.00
2019-08-01,69.00
2019-08-02,66.00
2019-08-03,66.00
2019-08-04,66.00
2019-08-05,65.00
2019-08-06,62.00
2019-08-07,68.00
2019-08-08,62.00
2019-08-09,64.00
2019-08-10,61.00
2019-08-11,63.00
2019-08-12,61.00
2019-08-13,68.00
2019-08-14,65.00
2019-08-15,78.00
2019-08-16,78.00
2019-08-17,80.00
2019-08-18,86.00
2019-08-19,89.00
2019-08-20,95.00
2019-08-21,95.00
2019-08-22,90.00
2019-08-23,78.00
2019-08-24,78.00
2019-08-25,78.00
2019-08-26,75.00
2019-08-27,61.00
2019-08-28,54.00
2019-08-29,54.00
2019-08-30,56.00
2019-08-31,56.00
2019-09-01,52.00
2019-09-02,48.00
2019-09-03,44.00
2019-09-04,39.00
2019-09-05,38.00
2019-09-06,36.00
2019-09-07,38.00
2019-09-08,41.00
2019-09-09,54.00
2019-09-10,48.00
2019-09-11,44.00
2019-09-12,41.00
2019-09-13,40.00
2019-09-14,36.00
2019-09-15,37.00
2019-09-16,35.00
2019-09-17,34.00
2019-09-18,36.00
2019-09-19,44.00
2019-09-20,41.00
2019-09-21,48.00
2019-09-22,52.00
2019-09-23,62.00
2019-09-24,60.00
2019-09-25,55.00
2019-09-26,50.00
2019-09-27,45.00
2019-09-28,45.00
2019-09-29,45.00
2019-09-30,45.00
2019-10-01,45.00
2019-10-02,48.00
