date,avg
2022-12-01,85.00
2022-12-09,96.67
2022-12-11,76.67
2022-12-12,76.67
2022-12-13,76.67
2022-12-14,76.67
2022-12-16,76.67
2022-12-17,63.33
2022-12-18,65.00
2022-12-19,76.67
2022-12-20,66.67
2022-12-21,76.67
2022-12-22,76.67
2022-12-23,75.00
2022-12-24,75.00
2022-12-25,75.00
2022-12-26,76.67
2022-12-27,76.67
2022-12-28,76.67
2022-12-29,76.67
2022-12-30,75.00
2022-12-31,75.00
2023-01-01,75.00
2023-01-02,76.67
2023-01-03,76.67
2023-01-04,86.67
2023-01-05,86.67
2023-01-06,86.67
2023-01-07,86.67
2023-01-08,85.00
2023-01-09,96.67
2023-01-10,85.00
2023-01-11,86.67
2023-01-12,86.67
2023-01-13,86.67
2023-01-14,86.67
2023-01-15,86.67
2023-01-16,85.00
2023-01-17,86.67
2023-01-18,86.67
2023-01-19,86.67
2023-01-20,76.67
2023-01-21,110.00
2023-01-22,110.00
2023-01-23,136.67
2023-01-24,145.00
2023-01-25,145.00
2023-01-26,145.00
2023-01-27,136.67
2023-01-28,136.67
2023-01-29,135.00
2023-01-30,125.00
2023-01-31,135.00
2023-02-01,123.33
2023-02-02,125.00
2023-02-03,125.00
2023-02-04,125.00
2023-02-05,125.00
2023-02-06,125.00
2023-02-07,125.00
2023-02-08,110.00
2023-02-09,126.67
2023-02-10,95.00
2023-02-11,96.67
2023-02-12,95.00
2023-02-13,86.67
2023-02-14,115.00
2023-02-15,96.67
2023-02-16,96.67
2023-02-17,96.67
2023-02-18,96.67
2023-02-19,95.00
2023-02-20,95.00
2023-02-21,96.67
2023-02-22,96.67
2023-02-23,95.00
2023-02-24,96.67
2023-02-25,96.67
2023-02-26,95.00
2023-02-27,95.00
2023-02-28,96.67
2023-03-01,95.00
2023-03-02,110.00
2023-03-03,96.67
2023-03-05,95.00
2023-03-06,96.67
2023-03-07,96.67
2023-03-08,95.00
2023-03-09,96.67
2023-03-10,106.67
2023-03-11,115.00
2023-03-12,115.00
2023-03-13,96.67
2023-03-14,115.00
2023-03-15,130.00
2023-03-16,125.00
2023-03-17,125.00
2023-03-18,115.00
2023-03-19,115.00
2023-03-20,150.00
2023-03-21,165.00
2023-03-22,165.00
2023-03-23,173.33
2023-03-24,165.00
2023-03-25,170.00
2023-03-26,165.00
2023-03-27,140.00
2023-03-28,140.00
2023-03-29,140.00
2023-10-06,135.00
2023-10-07,130.00
2023-10-08,130.00
2023-10-09,136.67
2023-10-10,145.00
2023-10-11,135.00
2023-10-12,135.00
2023-10-13,135.00
2023-10-14,135.00
2023-10-15,133.33
2023-10-16,135.00
2023-10-17,135.00
2023-10-18,135.00
2023-10-19,130.00
2023-10-20,130.00
2023-10-21,135.00
2023-10-22,130.00
2023-10-24,130.00
2023-10-26,130.00
2023-10-27,130.00
2023-10-28,125.00
2023-10-29,125.00
2023-10-30,110.00
2023-10-31,110.00
2023-11-01,125.00
2023-11-02,110.00
2023-11-03,115.00
2023-11-04,110.00
2023-11-05,115.00
2023-11-06,110.00
2023-11-07,115.00
2023-11-08,115.00
2023-11-09,103.33
2023-11-10,106.67
2023-11-11,116.67
2023-11-12,106.67
2023-11-13,106.67
2023-11-14,106.67
2023-11-15,110.00
2023-11-17,106.67
2023-11-18,105.00
2023-11-19,105.00
2023-11-20,106.67
2023-11-21,96.67
2023-11-22,95.00
2023-11-23,86.67
2023-11-24,86.67
2023-11-25,86.67
2023-11-26,65.00
2023-11-27,86.67
2023-11-28,86.67
2023-11-29,86.67
2023-11-30,86.67
2023-12-01,85.00
2023-12-02,86.67
2023-12-03,85.00
2023-12-05,86.67
2023-12-06,86.67
2023-12-07,85.00
2023-12-08,86.67
2023-12-09,85.00
2023-12-10,85.00
2023-12-11,86.67
2023-12-12,86.67
2023-12-13,75.00
2023-12-14,85.00
2023-12-15,86.67
2023-12-16,86.67
2023-12-17,85.00
2023-12-18,86.67
2023-12-19,86.67
2023-12-20,86.67
2023-12-21,86.67
2023-12-22,86.67
2023-12-23,85.00
2023-12-24,85.00
2023-12-25,85.00
2023-12-26,85.00
2023-12-27,86.67
2023-12-28,85.00
2023-12-29,86.67
2023-12-30,85.00
2023-12-31,85.00
2024-01-01,86.67
2024-01-02,86.67
2024-01-03,86.67
2024-01-04,86.67
2024-01-05,86.67
2024-01-06,85.00
2024-01-07,85.00
2024-01-08,85.00
2024-01-09,86.67
2024-01-10,86.67
2024-01-11,86.67
2024-01-12,85.00
2024-01-13,85.00
2024-01-14,85.00
2024-01-15,86.67
2024-01-16,86.67
2024-01-17,113.33
2024-01-18,125.00
2024-01-19,125.00
2024-01-20,125.00
2024-01-21,125.00
2024-01-22,126.67
2024-01-23,125.00
2024-01-24,125.00
2024-01-25,125.00
2024-01-26,125.00
2024-01-27,125.00
2024-01-28,126.67
2024-01-29,125.00
2024-01-30,125.00
2024-01-31,135.00
2024-02-01,125.00
2024-02-02,125.00
2024-02-03,125.00
2024-02-04,125.00
2024-02-05,115.00
2024-02-06,125.00
2024-02-08,110.00
2024-02-09,110.00
2024-02-10,110.00
2024-02-11,110.00
2024-02-12,140.00
2024-02-13,140.00
2024-02-14,140.00
2024-02-15,140.00
2024-02-16,160.00
2024-02-17,145.00
2024-02-18,160.00
2024-02-19,155.00
2024-02-20,146.67
2024-02-21,146.67
2024-02-22,146.67
2024-02-23,145.00
2024-02-24,146.67
2024-02-25,145.00
2024-02-26,145.00
2024-02-27,145.00
2024-02-28,145.00
2024-02-29,146.67
2024-03-01,145.00
2024-03-02,145.00
2024-03-04,146.67
2024-03-05,145.00
2024-03-06,146.67
2024-03-07,145.00
2024-03-08,145.00
2024-03-09,146.67
2024-03-10,150.00
2024-03-11,145.00
2024-03-12,146.67
2024-03-13,150.00
2024-03-14,150.00
2024-03-15,155.00
2024-03-16,146.67
2024-03-17,145.00
2024-03-18,155.00
2024-03-19,145.00
2024-03-20,155.00
2024-03-21,155.00
2024-03-22,155.00
2024-03-23,156.67
2024-03-24,155.00
2024-03-25,155.00
2024-03-26,155.00
2024-03-27,155.00
2024-03-28,155.00
2024-03-29,156.67
2024-10-10,145.00
2024-10-11,190.00
2024-10-12,155.00
2024-10-13,176.67
2024-10-14,176.67
2024-10-15,176.67
2024-10-16,226.67
2024-10-17,190.00
2024-10-18,190.00
2024-10-19,190.00
2024-10-20,175.00
2024-10-21,175.00
2024-10-22,175.00
2024-10-23,135.00
2024-10-24,190.00
2024-10-25,170.00
2024-10-26,145.00
2024-10-27,166.67
2024-10-28,145.00
2024-10-29,145.00
2024-10-30,170.00
2024-10-31,166.67
2024-11-01,166.67
2024-11-02,145.00
2024-11-03,145.00
2024-11-04,145.00
2024-11-05,145.00
2024-11-06,145.00
2024-11-07,145.00
2024-11-08,166.67
2024-11-09,110.00
