date,avg
2013-04-15,38.00
2013-04-16,43.00
2013-04-25,38.00
2013-05-06,55.00
2013-05-12,38.00
2013-05-13,33.00
2013-05-15,33.00
2013-05-19,33.00
2013-05-20,38.00
2013-05-21,38.00
2013-05-23,33.00
2013-05-24,38.00
2013-05-26,33.00
2013-05-27,23.00
2013-05-28,38.00
2013-05-30,38.00
2013-05-31,38.00
2013-06-02,38.00
2013-06-03,38.00
2013-06-04,48.00
2013-06-06,38.00
2013-06-09,38.00
2013-06-10,48.00
2013-06-11,48.00
2013-06-13,48.00
2013-06-16,48.00
2013-06-18,48.00
2013-06-19,48.00
2013-06-20,43.00
2013-06-21,48.00
2013-06-26,48.00
2013-06-27,28.00
2013-10-17,48.00
2013-10-20,48.00
2013-10-23,48.00
2013-10-24,48.00
2013-10-25,58.00
2013-10-27,48.00
2013-10-28,58.00
2013-10-29,48.00
2013-10-30,48.00
2013-11-01,48.00
2013-11-03,48.00
2013-11-10,48.00
2013-11-13,53.00
2013-11-15,53.00
2013-11-16,53.00
2013-11-17,53.00
2013-11-18,53.00
2013-11-21,58.00
2013-11-22,48.00
2013-11-24,48.00
2013-11-25,53.00
2013-11-26,58.00
2013-11-27,48.00
2013-11-28,58.00
2013-11-29,48.00
2013-12-01,58.00
2013-12-02,58.00
2013-12-03,58.00
2013-12-04,58.00
2013-12-05,48.00
2013-12-06,58.00
2013-12-08,48.00
2013-12-09,48.00
2013-12-10,58.00
2013-12-11,48.00
2013-12-12,48.00
2013-12-13,48.00
2013-12-15,48.00
2013-12-16,48.00
2013-12-18,48.00
2013-12-19,43.00
2013-12-20,38.00
2013-12-22,43.00
2013-12-23,38.00
2013-12-24,48.00
2013-12-26,41.00
2013-12-27,48.00
2013-12-29,48.00
2013-12-31,43.00
2014-01-01,43.00
2014-01-02,43.00
2014-01-03,43.00
2014-01-05,38.00
2014-01-06,43.00
2014-01-07,38.00
2014-01-08,38.00
2014-01-09,43.00
2014-01-10,43.00
2014-01-12,38.00
2014-01-13,38.00
2014-01-14,38.00
2014-01-16,38.00
2014-01-17,43.00
2014-01-19,48.00
2014-01-20,38.00
2014-01-21,48.00
2014-01-22,38.00
2014-01-23,38.00
2014-01-24,38.00
2014-01-26,38.00
2014-01-27,43.00
2014-01-28,38.00
2014-01-29,38.00
2014-02-02,38.00
2014-02-03,33.00
2014-02-04,33.00
2014-02-05,38.00
2014-02-06,33.00
2014-02-07,33.00
2014-02-09,33.00
2014-02-10,33.00
2014-02-11,33.00
2014-02-12,33.00
2014-02-13,33.00
2014-02-14,33.00
2014-02-16,33.00
2014-02-17,33.00
2014-02-18,33.00
2014-02-20,38.00
2014-02-21,33.00
2014-02-23,38.00
2014-02-24,33.00
2014-02-25,33.00
2014-02-26,33.00
2014-02-28,33.00
2014-03-03,33.00
2014-03-05,33.00
2014-03-06,33.00
2014-03-07,33.00
2014-03-09,33.00
2014-03-10,33.00
2014-03-11,33.00
2014-03-12,33.00
2014-03-13,33.00
2014-03-14,33.00
2014-03-17,33.00
2014-03-18,33.00
2014-03-19,33.00
2014-03-20,33.00
2014-03-21,33.00
2014-03-23,33.00
2014-03-24,29.00
2014-03-25,29.00
2014-03-26,33.00
2014-03-27,43.00
2014-03-28,33.00
2014-03-31,38.00
2014-04-01,38.00
2014-04-02,38.00
2014-04-03,38.00
2014-04-04,38.00
2014-04-06,38.00
2014-04-07,43.00
2014-04-09,38.00
2014-04-10,43.00
2014-04-11,43.00
2014-04-13,48.00
2014-04-15,33.00
2014-04-16,43.00
2014-04-17,58.00
2014-04-18,58.00
2014-04-20,78.00
2014-04-21,78.00
2014-04-22,58.00
2014-04-23,78.00
2014-04-25,78.00
2014-04-27,78.00
2014-04-28,58.00
2014-04-29,58.00
2014-04-30,58.00
2014-05-02,58.00
2014-05-04,78.00
2014-05-05,48.00
2014-05-06,58.00
2014-05-07,57.00
2014-05-09,58.00
2014-05-11,57.00
2014-05-12,57.00
2014-05-13,58.00
2014-05-15,78.00
2014-05-16,57.00
2014-05-18,78.00
2014-05-19,78.00
2014-05-20,78.00
2014-05-21,78.00
2014-05-23,78.00
2014-05-25,57.00
2014-05-26,57.00
2014-05-27,77.00
2014-05-28,78.00
2014-06-01,57.00
2014-06-02,78.00
2014-06-03,68.00
2014-06-04,58.00
2014-06-05,78.00
2014-06-06,77.00
2014-06-08,78.00
2014-06-10,78.00
2014-06-11,58.00
2014-06-12,58.00
2014-06-15,48.00
2014-06-16,58.00
2014-09-04,38.00
2014-09-29,28.00
2014-10-25,48.00
2014-12-16,58.00
2014-12-18,48.00
2014-12-19,58.00
2014-12-27,58.00
2014-12-28,58.00
2014-12-29,58.00
2014-12-30,58.00
2014-12-31,58.00
2015-01-01,58.00
2015-01-02,58.00
2015-01-03,58.00
2015-01-04,58.00
2015-01-05,58.00
2015-01-06,58.00
2015-01-07,52.00
2015-01-08,58.00
2015-01-09,53.00
2015-01-11,53.00
2015-01-12,43.00
2015-01-13,58.00
