date,avg
2019-06-04,28.00
2019-06-05,27.00
2019-06-06,28.00
2019-06-07,28.00
2019-06-08,28.00
2019-06-09,28.00
2019-06-10,28.00
2019-06-11,28.00
2019-06-12,28.00
2019-06-13,28.00
2019-06-14,28.00
2019-06-15,28.00
2019-06-16,33.00
2019-06-17,28.00
2019-06-18,30.00
2019-06-21,28.00
2019-06-22,28.00
2019-06-23,28.00
2019-06-24,28.00
2019-06-25,28.00
2019-06-26,33.00
2019-06-30,42.00
2019-07-01,38.00
2019-07-02,38.00
2019-07-03,38.00
2019-07-04,42.00
2019-07-05,48.00
2019-07-06,48.00
2019-07-07,48.00
2019-07-08,52.00
2019-07-09,53.00
2021-04-19,35.00
2021-04-20,32.50
2021-04-21,37.50
2021-04-22,35.00
2021-04-23,35.00
2021-04-24,30.00
2021-04-25,27.50
2021-04-26,27.60
2021-04-27,30.00
2021-04-28,28.33
2021-04-29,30.00
2022-09-28,85.00
2023-04-30,37.50
2023-05-01,38.33
2023-05-02,38.33
2023-05-03,38.33
2023-05-04,38.33
2023-05-05,38.33
2023-05-06,38.33
2023-05-13,32.50
2023-05-15,38.33
2023-05-16,37.50
2024-06-03,27.50
2024-06-04,27.67
2019-06-04,28.00
2019-06-05,27.00
2019-06-06,28.00
2019-06-07,28.00
2019-06-08,28.00
2019-06-09,28.00
2019-06-10,28.00
2019-06-11,28.00
2019-06-12,28.00
2019-06-13,28.00
2019-06-14,28.00
2019-06-15,28.00
2019-06-16,33.00
2019-06-17,28.00
2019-06-18,30.00
2019-06-21,28.00
2019-06-22,28.00
2019-06-23,28.00
2019-06-24,28.00
2019-06-25,28.00
2019-06-26,33.00
2019-06-30,42.00
2019-07-01,38.00
2019-07-02,38.00
2019-07-03,38.00
2019-07-04,42.00
2019-07-05,48.00
2019-07-06,48.00
2019-07-07,48.00
2019-07-08,52.00
2019-07-09,53.00
2021-04-19,35.00
2021-04-20,32.50
2021-04-21,37.50
2021-04-22,35.00
2021-04-23,35.00
2021-04-24,30.00
2021-04-25,27.50
2021-04-26,27.60
2021-04-27,30.00
2021-04-28,28.33
2021-04-29,30.00
2022-09-28,85.00
2023-04-30,37.50
2023-05-01,38.33
2023-05-02,38.33
2023-05-03,38.33
2023-05-04,38.33
2023-05-05,38.33
2023-05-06,38.33
2023-05-13,32.50
2023-05-15,38.33
2023-05-16,37.50
2024-06-03,27.50
2024-06-04,27.67
