date,avg
2013-04-15,24.00
2013-04-16,21.00
2013-04-17,23.00
2013-04-18,19.00
2013-04-21,19.00
2013-04-22,19.00
2013-04-23,19.00
2013-04-25,17.00
2013-04-26,18.00
2013-04-28,18.00
2013-04-29,17.00
2013-04-30,18.00
2013-05-02,18.00
2013-05-03,18.00
2013-05-05,19.00
2013-05-06,18.00
2013-05-07,17.00
2013-05-08,18.00
2013-05-09,100.00
2013-05-10,19.00
2013-05-12,19.00
2013-05-13,19.00
2013-05-14,19.00
2013-05-15,19.00
2013-05-16,18.00
2013-05-17,14.00
2013-05-19,15.00
2013-05-20,15.00
2013-05-21,14.00
2013-05-22,15.00
2013-05-23,14.00
2013-05-24,15.00
2013-05-26,14.00
2013-05-27,14.00
2013-05-28,16.00
2013-05-30,15.00
2013-05-31,14.00
2013-06-02,16.00
2013-06-03,17.00
2013-06-04,16.00
2013-06-05,16.00
2013-06-06,13.00
2013-06-09,50.00
2013-06-10,15.00
2013-06-11,15.00
2013-06-13,15.00
2013-06-14,18.00
2013-06-16,16.00
2013-06-17,15.00
2013-06-18,14.00
2013-06-19,15.00
2013-06-20,15.00
2013-06-21,17.00
2013-06-25,18.00
2013-06-26,17.00
2013-06-27,19.00
2013-06-28,19.00
2013-06-30,25.00
2013-07-01,23.00
2013-07-02,24.00
2013-07-03,22.00
2013-07-04,22.00
2013-07-05,23.00
2013-07-09,43.00
2013-07-10,43.00
2013-07-11,43.00
2013-07-12,48.00
2013-07-14,43.00
2013-07-15,43.00
2013-07-16,48.00
2013-07-17,48.00
2013-07-18,48.00
2013-07-19,48.00
2013-07-21,53.00
2013-07-22,48.00
2013-07-23,48.00
2013-07-24,53.00
2013-07-25,48.00
2013-07-26,48.00
2013-07-28,43.00
2013-07-29,48.00
2013-07-30,48.00
2013-07-31,48.00
2013-08-01,48.00
2013-08-02,48.00
2013-08-04,48.00
2013-08-05,48.00
2013-08-06,48.00
2013-08-07,43.00
2013-08-08,43.00
2013-08-13,43.00
2013-08-14,43.00
2013-08-15,43.00
2013-08-16,43.00
2013-08-18,43.00
2013-08-19,43.00
2013-08-20,43.00
2013-08-23,43.00
2013-08-25,43.00
2013-08-26,43.00
2013-08-27,43.00
2013-08-29,43.00
2013-08-30,43.00
2013-09-01,43.00
2013-09-02,43.00
2013-09-03,43.00
2013-09-04,43.00
2013-09-05,48.00
2013-09-06,43.00
2013-09-08,43.00
2013-09-09,43.00
2013-09-10,43.00
2013-09-11,43.00
2013-09-12,43.00
2013-09-13,43.00
2013-09-15,43.00
2013-09-16,43.00
2013-09-17,43.00
2013-09-19,43.00
2013-09-20,63.00
2013-09-22,65.00
2013-09-23,68.00
2013-09-24,73.00
2013-09-25,68.00
2013-09-26,68.00
2013-09-27,65.00
2013-09-29,65.00
2013-09-30,68.00
2013-10-01,63.00
2013-10-02,63.00
2013-10-03,48.00
2013-10-04,45.00
2013-10-06,45.00
2013-10-07,48.00
2013-10-08,48.00
2013-10-09,48.00
2013-10-10,45.00
2013-10-11,47.00
2013-10-12,48.00
2013-10-14,55.00
2013-10-15,55.00
2013-10-16,55.00
2013-10-20,53.00
2013-10-21,48.00
2013-10-22,48.00
2013-10-23,45.00
2013-10-24,48.00
2013-10-25,53.00
2013-10-27,48.00
2013-10-28,55.00
2013-10-29,53.00
2013-10-30,45.00
2013-10-31,45.00
2013-11-01,45.00
2013-11-03,55.00
2013-11-04,53.00
2013-11-05,55.00
2013-11-06,55.00
2013-11-07,55.00
2013-11-10,55.00
2013-11-11,53.00
2013-11-12,58.00
2013-11-13,53.00
2013-11-14,55.00
2013-11-15,53.00
2013-11-16,53.00
2013-11-17,58.00
2013-11-18,58.00
2013-11-20,58.00
2013-11-21,55.00
2013-11-22,85.00
2013-11-24,55.00
2013-11-25,55.00
2013-11-26,55.00
2013-11-27,55.00
2013-11-28,55.00
2013-11-29,55.00
2013-12-01,53.00
2013-12-02,53.00
2013-12-03,50.00
