date,avg
2013-10-27,49.00
2013-10-28,39.00
2013-10-29,48.00
2013-10-30,58.00
2013-10-31,55.00
2013-11-01,55.00
2013-11-03,58.00
2013-11-04,49.00
2013-11-05,49.00
2013-11-07,48.00
2013-11-10,51.00
2013-11-11,43.00
2013-11-12,39.00
2013-11-13,38.00
2013-11-14,44.00
2013-11-15,40.00
2013-11-16,43.00
2013-11-17,46.00
2013-11-18,48.00
2013-11-20,48.00
2013-11-21,43.00
2013-11-22,39.00
2013-11-24,39.00
2013-11-25,36.00
2013-11-26,29.00
2013-11-27,30.00
2013-11-28,29.00
2013-11-29,29.00
2013-12-01,27.00
2013-12-02,27.00
2013-12-03,28.00
2013-12-04,28.00
2013-12-05,26.00
2013-12-06,28.00
2013-12-08,28.00
2013-12-09,27.00
2013-12-10,28.00
2013-12-11,31.00
2013-12-12,28.00
2013-12-13,28.00
2013-12-15,28.00
2013-12-16,33.00
2013-12-18,28.00
2013-12-19,28.00
2013-12-20,28.00
2013-12-22,28.00
2013-12-23,29.00
2013-12-24,29.00
2013-12-26,29.00
2013-12-29,29.00
2013-12-31,25.00
2014-01-01,24.00
2014-01-02,29.00
2014-01-03,29.00
2014-01-05,29.00
2014-01-06,28.00
2014-01-07,28.00
2014-01-08,28.00
2014-01-09,31.00
2014-01-10,30.00
2014-01-12,33.00
2014-01-13,34.00
2014-01-14,30.00
2014-01-16,23.00
2014-01-17,28.00
2014-01-19,26.00
2014-01-20,26.00
2014-01-21,25.00
2014-01-22,26.00
2014-01-23,25.00
2014-01-24,28.00
2014-01-26,28.00
2014-01-27,28.00
2014-01-28,29.00
2014-01-29,29.00
2014-02-02,29.00
2014-02-03,29.00
2014-02-04,29.00
2014-02-05,29.00
2014-02-06,29.00
2014-02-07,29.00
2014-02-09,28.00
2014-02-10,27.00
2014-02-11,27.00
2014-02-12,29.00
2014-02-13,27.00
2014-02-14,27.00
2014-02-16,29.00
2014-02-17,29.00
2014-02-18,29.00
2014-02-20,29.00
